wkid,latestWkid,macro,name,wkt,description,authority,version,deprecated
1031,1031,"PE_U_MILLIARCSECOND","Milliarcsecond","UNIT[""Milliarcsecond"",4.84813681109536e-09]","1/1000 Arc-second","EPSG","8.8(10.2.1)","no"
9101,9101,"PE_U_RADIAN","Radian","UNIT[""Radian"",1.0]","Radian","EPSG","8.8(3.0.1)","no"
9102,9102,"PE_U_DEGREE","Degree","UNIT[""Degree"",0.0174532925199433]","Degree","EPSG","8.8(3.0.1)","no"
9103,9103,"PE_U_ARCMINUTE","Arcminute","UNIT[""Arcminute"",0.0002908882086657216]","Arc-minute","EPSG","8.8(3.0.1)","no"
9104,9104,"PE_U_ARCSECOND","Arcsecond","UNIT[""Arcsecond"",0.00000484813681109536]","Arc-second","EPSG","8.8(3.0.1)","no"
9105,9105,"PE_U_GRAD","Grad","UNIT[""Grad"",0.01570796326794897]","Grad (angle subtended by 1/400 circle)","EPSG","8.8(3.0.1)","no"
9106,9106,"PE_U_GON","Gon","UNIT[""Gon"",0.01570796326794897]","Gon (angle subtended by 1/400 circle)","EPSG","6.3(3.0.1)","no"
9109,9109,"PE_U_MICRORADIAN","Microradian","UNIT[""Microradian"",0.000001]","Microradian ( 1e-6 radian )","EPSG","3.0(3.0.1)","no"
9112,9112,"PE_U_MINUTE_CENTESIMAL","Minute_Centesimal","UNIT[""Minute_Centesimal"",0.0001570796326794897]","Centesimal minute (1/100th Gon (Grad))","EPSG","8.8(8.0.1)","no"
9113,9113,"PE_U_SECOND_CENTESIMAL","Second_Centesimal","UNIT[""Second_Centesimal"",0.000001570796326794897]","Centesimal second (1/10000th Gon (Grad))","EPSG","8.8(8.0.1)","no"
9114,9114,"PE_U_MIL_6400","Mil_6400","UNIT[""Mil_6400"",0.0009817477042468104]","Mil (angle subtended by 1/6400 circle)","EPSG","8.8(8.0.1)","no"
