wkid,latestWkid,macro,name,wkt,wkt2,description,authority,version,deprecated
109401,109401,"PE_AU_HECTARE","Hectare","AREAUNIT[""Hectare"",10000.0]","","Hectare (100 x 100 square meters)","Esri","10.1.0","no"
109402,109402,"PE_AU_ACRE","Acre","AREAUNIT[""Acre"",4046.8564224]","","Acre (43560 square Intl Feet)","Esri","10.1.0","no"
109403,109403,"PE_AU_ACRE_US","Acre_US","AREAUNIT[""Acre_US"",4046.872609874252]","","Acre (43560 square US Feet)","Esri","10.1.0","no"
109404,109404,"PE_AU_SQUARE_METER","Square_Meter","AREAUNIT[""Square_Meter"",1.0]","","Square International meter","Esri","10.1.0","no"
109405,109405,"PE_AU_SQUARE_FOOT","Square_Foot","AREAUNIT[""Square_Foot"",0.09290304]","","Square International foot","Esri","10.1.0","no"
109406,109406,"PE_AU_SQUARE_FOOT_US","Square_Foot_US","AREAUNIT[""Square_Foot_US"",0.09290341161327487]","","Square US survey foot","Esri","10.1.0","no"
109407,109407,"PE_AU_SQUARE_FOOT_CLARKE","Square_Foot_Clarke","AREAUNIT[""Square_Foot_Clarke"",0.09290137299531805]","","Square Clarke's foot","Esri","10.1.0","no"
109408,109408,"PE_AU_SQUARE_FATHOM","Square_Fathom","AREAUNIT[""Square_Fathom"",3.34450944]","","Square Fathom","Esri","10.1.0","no"
109409,109409,"PE_AU_SQUARE_NAUTICAL_MILE","Square_Nautical_Mile","AREAUNIT[""Square_Nautical_Mile"",3429904.0]","","Square International nautical mile","Esri","10.1.0","no"
109410,109410,"PE_AU_SQUARE_METER_GERMAN","Square_Meter_German","AREAUNIT[""Square_Meter_German"",1.000027193184865]","","Square German legal meter","Esri","10.1.0","no"
109411,109411,"PE_AU_SQUARE_CHAIN_US","Square_Chain_US","AREAUNIT[""Square_Chain_US"",404.6872609874253]","","Square US survey chain","Esri","10.1.0","no"
109412,109412,"PE_AU_SQUARE_LINK_US","Square_Link_US","AREAUNIT[""Square_Link_US"",0.04046872609874252]","","Square US survey link","Esri","10.1.0","no"
109413,109413,"PE_AU_SQUARE_MILE_US","Square_Mile_US","AREAUNIT[""Square_Mile_US"",2589998.470319522]","","Square US survey mile","Esri","10.1.0","no"
109414,109414,"PE_AU_SQUARE_KILOMETER","Square_Kilometer","AREAUNIT[""Square_Kilometer"",1000000.0]","","Square Kilometer","Esri","10.1.0","no"
109415,109415,"PE_AU_SQUARE_YARD_CLARKE","Square_Yard_Clarke","AREAUNIT[""Square_Yard_Clarke"",0.8361123569578626]","","Square Yard (Clarke)","Esri","10.1.0","no"
109416,109416,"PE_AU_SQUARE_CHAIN_CLARKE","Square_Chain_Clarke","AREAUNIT[""Square_Chain_Clarke"",404.6783807676053]","","Square Chain (Clarke)","Esri","10.1.0","no"
109417,109417,"PE_AU_SQUARE_LINK_CLARKE","Square_Link_Clarke","AREAUNIT[""Square_Link_Clarke"",0.04046783807676053]","","Square Link (Clarke's ratio)","Esri","10.1.0","no"
109418,109418,"PE_AU_SQUARE_YARD_SEARS","Square_Yard_Sears","AREAUNIT[""Square_Yard_Sears"",0.8361244606523066]","","Square Yard (Sears)","Esri","10.1.0","no"
