wkid,latestWkid,macro,name,wkt,description,authority,version,deprecated,areaname,slat,nlat,llon,rlon,accuracy
1024,1024,"PE_GT_MGI_TO_ETRS_1989_4","MGI_To_ETRS_1989_4","GEOGTRAN[""MGI_To_ETRS_1989_4"",GEOGCS[""GCS_MGI"",DATUM[""D_MGI"",SPHEROID[""Bessel_1841"",6377397.155,299.1528128]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_ETRS_1989"",DATUM[""D_ETRS_1989"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Coordinate_Frame""],PARAMETER[""X_Axis_Translation"",601.705],PARAMETER[""Y_Axis_Translation"",84.263],PARAMETER[""Z_Axis_Translation"",485.227],PARAMETER[""X_Axis_Rotation"",-4.7354],PARAMETER[""Y_Axis_Rotation"",-1.3145],PARAMETER[""Z_Axis_Rotation"",-5.393],PARAMETER[""Scale_Difference"",-2.3887]]","Austria - Styria","EPSG","6.16(10.0.0)","no","Austria - Styria",46.64,47.84,13.58,16.17,1.0
1055,1055,"PE_GT_AIN_EL_ABD_TO_WGS_1984_3","Ain_el_Abd_To_WGS_1984_3","GEOGTRAN[""Ain_el_Abd_To_WGS_1984_3"",GEOGCS[""GCS_Ain_el_Abd_1970"",DATUM[""D_Ain_el_Abd_1970"",SPHEROID[""International_1924"",6378388.0,297.0]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Geocentric_Translation""],PARAMETER[""X_Axis_Translation"",-145.7],PARAMETER[""Y_Axis_Translation"",-249.1],PARAMETER[""Z_Axis_Translation"",1.5]]","Kuwait","EPSG","7.9.4(9.2.0)","no","Kuwait - onshore",28.53,30.09,46.54,48.48,1.0
1056,1056,"PE_GT_AIN_EL_ABD_TO_WGS_1984_4","Ain_El_Abd_To_WGS_1984_4","GEOGTRAN[""Ain_El_Abd_To_WGS_1984_4"",GEOGCS[""GCS_Ain_el_Abd_1970"",DATUM[""D_Ain_el_Abd_1970"",SPHEROID[""International_1924"",6378388.0,297.0]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Coordinate_Frame""],PARAMETER[""X_Axis_Translation"",-85.645],PARAMETER[""Y_Axis_Translation"",-273.077],PARAMETER[""Z_Axis_Translation"",-79.708],PARAMETER[""X_Axis_Rotation"",-2.289],PARAMETER[""Y_Axis_Rotation"",1.421],PARAMETER[""Z_Axis_Rotation"",-2.532],PARAMETER[""Scale_Difference"",3.194]]","Kuwait","EPSG","7.9.4(9.2.0)","no","Kuwait - onshore",28.53,30.09,46.54,48.48,1.0
1057,1057,"PE_GT_AIN_EL_ABD_TO_WGS_1984_5","Ain_El_Abd_To_WGS_1984_5","GEOGTRAN[""Ain_El_Abd_To_WGS_1984_5"",GEOGCS[""GCS_Ain_el_Abd_1970"",DATUM[""D_Ain_el_Abd_1970"",SPHEROID[""International_1924"",6378388.0,297.0]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Coordinate_Frame""],PARAMETER[""X_Axis_Translation"",-202.234],PARAMETER[""Y_Axis_Translation"",-168.351],PARAMETER[""Z_Axis_Translation"",-63.51],PARAMETER[""X_Axis_Rotation"",-3.545],PARAMETER[""Y_Axis_Rotation"",-0.659],PARAMETER[""Z_Axis_Rotation"",1.945],PARAMETER[""Scale_Difference"",2.1]]","Kuwait - N of a line connecting Al Jahra' and Kuwait/Iraq/Saudi Arabia border tripoint","EPSG","6.5.3(9.2.0)","no","Kuwait - north of 29.25~N",29.1,30.09,46.54,48.42,1.0
1058,1058,"PE_GT_AIN_EL_ABD_TO_WGS_1984_6","Ain_El_Abd_To_WGS_1984_6","GEOGTRAN[""Ain_El_Abd_To_WGS_1984_6"",GEOGCS[""GCS_Ain_el_Abd_1970"",DATUM[""D_Ain_el_Abd_1970"",SPHEROID[""International_1924"",6378388.0,297.0]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Coordinate_Frame""],PARAMETER[""X_Axis_Translation"",-18.944],PARAMETER[""Y_Axis_Translation"",-379.364],PARAMETER[""Z_Axis_Translation"",-24.063],PARAMETER[""X_Axis_Rotation"",-0.04],PARAMETER[""Y_Axis_Rotation"",0.764],PARAMETER[""Z_Axis_Rotation"",-6.431],PARAMETER[""Scale_Difference"",3.657]]","Kuwait - S of a line connecting Al Jahra' and Kuwait/Iraq/Saudi Arabia border tripoint","EPSG","6.5.3(9.2.0)","no","Kuwait - south of 29.25~N",28.53,29.45,46.54,48.48,1.0
1059,1059,"PE_GT_KOC_TO_WGS_1984_1","KOC_To_WGS_1984_1","GEOGTRAN[""KOC_To_WGS_1984_1"",GEOGCS[""GCS_Kuwait_Oil_Company"",DATUM[""D_Kuwait_Oil_Company"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Geocentric_Translation""],PARAMETER[""X_Axis_Translation"",-294.7],PARAMETER[""Y_Axis_Translation"",-200.1],PARAMETER[""Z_Axis_Translation"",525.5]]","Kuwait","EPSG","7.4.6(9.2.0)","no","Kuwait - onshore",28.53,30.09,46.54,48.48,1.0
1060,1060,"PE_GT_NGN_TO_WGS_1984_1","NGN_To_WGS_1984_1","GEOGTRAN[""NGN_To_WGS_1984_1"",GEOGCS[""GCS_NGN"",DATUM[""D_NGN"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Geocentric_Translation""],PARAMETER[""X_Axis_Translation"",-3.2],PARAMETER[""Y_Axis_Translation"",-5.7],PARAMETER[""Z_Axis_Translation"",2.8]]","Kuwait","EPSG","7.4.6(9.2.0)","no","Kuwait - onshore",28.53,30.09,46.54,48.48,1.0
1061,1061,"PE_GT_KUDAMS_TO_WGS_1984_1","KUDAMS_To_WGS_1984_1","GEOGTRAN[""KUDAMS_To_WGS_1984_1"",GEOGCS[""GCS_KUDAMS"",DATUM[""D_Kuwait_Utility"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Geocentric_Translation""],PARAMETER[""X_Axis_Translation"",-20.8],PARAMETER[""Y_Axis_Translation"",11.3],PARAMETER[""Z_Axis_Translation"",2.4]]","Kuwait","EPSG","7.4.6(9.2.0)","no","Kuwait - Kuwait City",29.17,29.45,47.78,48.16,1.0
1062,1062,"PE_GT_KUDAMS_TO_WGS_1984_2","KUDAMS_To_WGS_1984_2","GEOGTRAN[""KUDAMS_To_WGS_1984_2"",GEOGCS[""GCS_KUDAMS"",DATUM[""D_Kuwait_Utility"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_WGS_1984"",DATUM[""D_WGS_1984"",SPHEROID[""WGS_1984"",6378137.0,298.257223563]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Coordinate_Frame""],PARAMETER[""X_Axis_Translation"",226.702],PARAMETER[""Y_Axis_Translation"",-193.337],PARAMETER[""Z_Axis_Translation"",-35.371],PARAMETER[""X_Axis_Rotation"",2.229],PARAMETER[""Y_Axis_Rotation"",4.391],PARAMETER[""Z_Axis_Rotation"",-9.238],PARAMETER[""Scale_Difference"",0.9798]]","Kuwait","EPSG","7.4.6(9.2.0)","no","Kuwait - Kuwait City",29.17,29.45,47.78,48.16,1.0
1063,1063,"PE_GT_VIENTIANE_1982_TO_LAO_1997_1","Vientiane_1982_To_Lao_1997_1","GEOGTRAN[""Vientiane_1982_To_Lao_1997_1"",GEOGCS[""GCS_Vientiane_1982"",DATUM[""D_Vientiane_1982"",SPHEROID[""Krasovsky_1940"",6378245.0,298.3]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],GEOGCS[""GCS_Lao_1997"",DATUM[""D_Lao_National_Datum_1997"",SPHEROID[""Krasovsky_1940"",6378245.0,298.3]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],METHOD[""Geocentric_Translation""],PARAMETER[""X_Axis_Translation"",-2.227],PARAMETER[""Y_Axis_Translation"",6.524],PARAMETER[""Z_Axis_Translation"",2.178]]","Lao People's Democratic Republic","EPSG","6.5.2(9.2.0)","no","Laos",13.92,22.5,100.09,107.64,2.0
