wkid,latestWkid,macro,name,wkt,wkt2,description,authority,version,deprecated
1025,1025,"PE_U_MILLIMETER","Millimeter","UNIT[""Millimeter"",0.001]","LENGTHUNIT[""Millimeter"",0.001]","Millimeter","EPSG","8.2.4(10.2.1)","no"
1033,1033,"PE_U_CENTIMETER","Centimeter","UNIT[""Centimeter"",0.01]","LENGTHUNIT[""Centimeter"",0.01]","Centimeter","EPSG","8.2.4(10.2.1)","no"
9001,9001,"PE_U_METER","Meter","UNIT[""Meter"",1.0]","LENGTHUNIT[""Meter"",1.0]","International meter","EPSG","8.8(3.0.1)","no"
9002,9002,"PE_U_FOOT","Foot","UNIT[""Foot"",0.3048]","LENGTHUNIT[""Foot"",0.3048]","International foot","EPSG","8.8(3.0.1)","no"
9003,9003,"PE_U_FOOT_US","Foot_US","UNIT[""Foot_US"",0.3048006096012192]","LENGTHUNIT[""Foot_US"",0.3048006096012192]","US survey foot","EPSG","4.5(3.0.1)","no"
9005,9005,"PE_U_FOOT_CLARKE","Foot_Clarke","UNIT[""Foot_Clarke"",0.3047972654]","LENGTHUNIT[""Foot_Clarke"",0.3047972654]","Clarke's foot","EPSG","4.4(3.0.1)","no"
9014,9014,"PE_U_FATHOM","Fathom","UNIT[""Fathom"",1.8288]","LENGTHUNIT[""Fathom"",1.8288]","Fathom","EPSG","8.8(3.0.1)","no"
9030,9030,"PE_U_NAUTICAL_MILE","Nautical_Mile","UNIT[""Nautical_Mile"",1852.0]","LENGTHUNIT[""Nautical_Mile"",1852.0]","International nautical mile","EPSG","3.0(3.0.1)","no"
9031,9031,"PE_U_METER_GERMAN","Meter_German","UNIT[""Meter_German"",1.0000135965]","LENGTHUNIT[""Meter_German"",1.0000135965]","German legal meter","EPSG","8.8(4.0.0)","no"
9033,9033,"PE_U_CHAIN_US","Chain_US","UNIT[""Chain_US"",20.11684023368047]","LENGTHUNIT[""Chain_US"",20.11684023368047]","US survey chain","EPSG","4.5(8.0.1)","no"
9034,9034,"PE_U_LINK_US","Link_US","UNIT[""Link_US"",0.2011684023368047]","LENGTHUNIT[""Link_US"",0.2011684023368047]","US survey link","EPSG","4.5(8.0.1)","no"
9035,9035,"PE_U_MILE_US","Mile_US","UNIT[""Mile_US"",1609.347218694438]","LENGTHUNIT[""Mile_US"",1609.347218694438]","US survey mile","EPSG","4.5(8.0.1)","no"
9036,9036,"PE_U_KILOMETER","Kilometer","UNIT[""Kilometer"",1000.0]","LENGTHUNIT[""Kilometer"",1000.0]","Kilometer","EPSG","8.8(8.0.1)","no"
9037,9037,"PE_U_YARD_CLARKE","Yard_Clarke","UNIT[""Yard_Clarke"",0.9143917962]","LENGTHUNIT[""Yard_Clarke"",0.9143917962]","Yard (Clarke)","EPSG","4.4(8.1.0)","no"
9038,9038,"PE_U_CHAIN_CLARKE","Chain_Clarke","UNIT[""Chain_Clarke"",20.1166195164]","LENGTHUNIT[""Chain_Clarke"",20.1166195164]","Chain (Clarke)","EPSG","4.4(8.1.0)","no"
9039,9039,"PE_U_LINK_CLARKE","Link_Clarke","UNIT[""Link_Clarke"",0.201166195164]","LENGTHUNIT[""Link_Clarke"",0.201166195164]","Link (Clarke's ratio)","EPSG","4.4(8.1.0)","no"
9040,9040,"PE_U_YARD_SEARS","Yard_Sears","UNIT[""Yard_Sears"",0.9143984146160287]","LENGTHUNIT[""Yard_Sears"",0.9143984146160287]","Yard (Sears)","EPSG","4.4(3.0.1)","no"
9041,9041,"PE_U_FOOT_SEARS","Foot_Sears","UNIT[""Foot_Sears"",0.3047994715386762]","LENGTHUNIT[""Foot_Sears"",0.3047994715386762]","Sears' foot","EPSG","4.4(3.0.1)","no"
9042,9042,"PE_U_CHAIN_SEARS","Chain_Sears","UNIT[""Chain_Sears"",20.11676512155263]","LENGTHUNIT[""Chain_Sears"",20.11676512155263]","Chain (Sears)","EPSG","4.4(3.0.1)","no"
9043,9043,"PE_U_LINK_SEARS","Link_Sears","UNIT[""Link_Sears"",0.2011676512155263]","LENGTHUNIT[""Link_Sears"",0.2011676512155263]","Link (Sears)","EPSG","4.4(8.1.0)","no"
9050,9050,"PE_U_YARD_BENOIT_A","Yard_Benoit_1895_A","UNIT[""Yard_Benoit_1895_A"",0.9143992]","LENGTHUNIT[""Yard_Benoit_1895_A"",0.9143992]","Yard (Benoit 1895 A)","EPSG","4.4(8.1.0)","no"
9051,9051,"PE_U_FOOT_BENOIT_A","Foot_Benoit_1895_A","UNIT[""Foot_Benoit_1895_A"",0.3047997333333333]","LENGTHUNIT[""Foot_Benoit_1895_A"",0.3047997333333333]","Foot (Benoit 1895 A)","EPSG","4.4(8.1.0)","no"
9052,9052,"PE_U_CHAIN_BENOIT_A","Chain_Benoit_1895_A","UNIT[""Chain_Benoit_1895_A"",20.1167824]","LENGTHUNIT[""Chain_Benoit_1895_A"",20.1167824]","Chain (Benoit 1895 A)","EPSG","4.4(8.1.0)","no"
9053,9053,"PE_U_LINK_BENOIT_A","Link_Benoit_1895_A","UNIT[""Link_Benoit_1895_A"",0.201167824]","LENGTHUNIT[""Link_Benoit_1895_A"",0.201167824]","Link (Benoit 1895 A)","EPSG","4.4(8.1.0)","no"
9060,9060,"PE_U_YARD_BENOIT_B","Yard_Benoit_1895_B","UNIT[""Yard_Benoit_1895_B"",0.9143992042898124]","LENGTHUNIT[""Yard_Benoit_1895_B"",0.9143992042898124]","Yard (Benoit 1895 B)","EPSG","4.4(8.1.0)","no"
9061,9061,"PE_U_FOOT_BENOIT_B","Foot_Benoit_1895_B","UNIT[""Foot_Benoit_1895_B"",0.3047997347632708]","LENGTHUNIT[""Foot_Benoit_1895_B"",0.3047997347632708]","Foot (Benoit 1895 B)","EPSG","4.4(8.1.0)","no"
9062,9062,"PE_U_CHAIN_BENOIT_B","Chain_Benoit_1895_B","UNIT[""Chain_Benoit_1895_B"",20.11678249437587]","LENGTHUNIT[""Chain_Benoit_1895_B"",20.11678249437587]","Chain (Benoit 1895 B)","EPSG","4.4(8.1.0)","no"
9063,9063,"PE_U_LINK_BENOIT_B","Link_Benoit_1895_B","UNIT[""Link_Benoit_1895_B"",0.2011678249437587]","LENGTHUNIT[""Link_Benoit_1895_B"",0.2011678249437587]","Link (Benoit 1895 B)","EPSG","4.4(8.1.0)","no"
9070,9070,"PE_U_FOOT_1865","Foot_1865","UNIT[""Foot_1865"",0.3048008333333334]","LENGTHUNIT[""Foot_1865"",0.3048008333333334]","Foot (1865)","EPSG","4.4(8.1.0)","no"
9080,9080,"PE_U_FOOT_INDIAN","Foot_Indian","UNIT[""Foot_Indian"",0.3047995102481469]","LENGTHUNIT[""Foot_Indian"",0.3047995102481469]","Indian geodetic foot","EPSG","4.4(3.0.1)","no"
9081,9081,"PE_U_FOOT_INDIAN_1937","Foot_Indian_1937","UNIT[""Foot_Indian_1937"",0.30479841]","LENGTHUNIT[""Foot_Indian_1937"",0.30479841]","Indian foot (1937)","EPSG","4.4(8.1.0)","no"
9082,9082,"PE_U_FOOT_INDIAN_1962","Foot_Indian_1962","UNIT[""Foot_Indian_1962"",0.3047996]","LENGTHUNIT[""Foot_Indian_1962"",0.3047996]","Indian foot (1962)","EPSG","4.4(8.1.0)","no"
9083,9083,"PE_U_FOOT_INDIAN_1975","Foot_Indian_1975","UNIT[""Foot_Indian_1975"",0.3047995]","LENGTHUNIT[""Foot_Indian_1975"",0.3047995]","Indian foot (1975)","EPSG","4.4(8.1.0)","no"
9084,9084,"PE_U_YARD_INDIAN","Yard_Indian","UNIT[""Yard_Indian"",0.9143985307444408]","LENGTHUNIT[""Yard_Indian"",0.9143985307444408]","Indian yard","EPSG","4.4(3.0.1)","no"
9085,9085,"PE_U_YARD_INDIAN_1937","Yard_Indian_1937","UNIT[""Yard_Indian_1937"",0.91439523]","LENGTHUNIT[""Yard_Indian_1937"",0.91439523]","Indian yard (1937)","EPSG","4.4(8.1.0)","no"
9086,9086,"PE_U_YARD_INDIAN_1962","Yard_Indian_1962","UNIT[""Yard_Indian_1962"",0.9143988]","LENGTHUNIT[""Yard_Indian_1962"",0.9143988]","Indian yard (1962)","EPSG","4.4(8.1.0)","no"
9087,9087,"PE_U_YARD_INDIAN_1975","Yard_Indian_1975","UNIT[""Yard_Indian_1975"",0.9143985]","LENGTHUNIT[""Yard_Indian_1975"",0.9143985]","Indian yard (1975)","EPSG","4.4(8.1.0)","no"
