wkid,latestWkid,macro,name,wkt,wkt2,description,authority,version,deprecated
9601,9601,"PE_MTH_LONGITUDE_ROTATION","Longitude_Rotation","METHOD[""Longitude_Rotation""]","METHOD[""Longitude_Rotation""]","Longitude Rotation","Esri","4.0.0","no"
9603,9603,"PE_MTH_GEOCENTRIC_TRANSLATION","Geocentric_Translation","METHOD[""Geocentric_Translation""]","METHOD[""Geocentric_Translation""]","Geocentric Translation (3-parameter)","Esri","3.0.1","no"
9604,9604,"PE_MTH_MOLODENSKY","Molodensky","METHOD[""Molodensky""]","METHOD[""Molodensky""]","Molodensky","Esri","3.0.1","no"
9605,9605,"PE_MTH_MOLODENSKY_ABRIDGED","Molodensky_Abridged","METHOD[""Molodensky_Abridged""]","METHOD[""Molodensky_Abridged""]","Abridged Molodensky","Esri","3.0.1","no"
9606,9606,"PE_MTH_POSITION_VECTOR","Position_Vector","METHOD[""Position_Vector""]","METHOD[""Position_Vector""]","Position Vector (7-parameter)","Esri","3.0.1","no"
9607,9607,"PE_MTH_COORDINATE_FRAME","Coordinate_Frame","METHOD[""Coordinate_Frame""]","METHOD[""Coordinate_Frame""]","Coordinate Frame (7-parameter)","Esri","3.0.1","no"
9613,9613,"PE_MTH_NADCON","NADCON","METHOD[""NADCON""]","METHOD[""NADCON""]","NADCON","Esri","4.0.0","no"
9615,9615,"PE_MTH_NTV2","NTv2","METHOD[""NTv2""]","METHOD[""NTv2""]","NTv2","Esri","8.1.0","no"
9619,9619,"PE_MTH_GEOGRAPHIC_2D_OFFSET","Geographic_2D_Offset","METHOD[""Geographic_2D_Offset""]","METHOD[""Geographic_2D_Offset""]","Geographic 2D Offset","Esri","10.0.0","no"
9636,9636,"PE_MTH_MOLODENSKY_BADEKAS","Molodensky_Badekas","METHOD[""Molodensky_Badekas""]","METHOD[""Molodensky_Badekas""]","Molodensky-Badekas","Esri","9.0.0","no"
109600,109600,"PE_MTH_NULL","Null","METHOD[""Null""]","METHOD[""Null""]","NULL transformation","Esri","10.0.0","no"
109601,109601,"PE_MTH_UNIT_CHANGE","Unit_Change","METHOD[""Unit_Change""]","METHOD[""Unit_Change""]","Units change only","Esri","10.0.0","no"
109607,109607,"PE_MTH_BURSA_WOLF","Bursa_Wolf","METHOD[""Bursa_Wolf""]","METHOD[""Bursa_Wolf""]","Bursa-Wolf","Esri","3.0.1","no"
109613,109613,"PE_MTH_HARN","HARN","METHOD[""HARN""]","METHOD[""HARN""]","HARN (HPGN)","Esri","4.0.0","no"
109614,109614,"PE_MTH_GEOCON","GEOCON","METHOD[""GEOCON""]","METHOD[""GEOCON""]","GEOCON transformation for NAD83","Esri","10.4.0","no"
109615,109615,"PE_MTH_NADCON5","NADCON5","METHOD[""NADCON5""]","METHOD[""NADCON5""]","NADCON5 transformation","Esri","10.8.0","no"
109616,109616,"PE_MTH_TIME_BASED_HELMERT_POSITION_VECTOR","Time_Based_Helmert_Position_Vector","METHOD[""Time_Based_Helmert_Position_Vector""]","METHOD[""Time_Based_Helmert_Position_Vector""]","Position Vector (14-parameter)","Esri","12.6.0","no"
109617,109617,"PE_MTH_TIME_BASED_HELMERT_COORDINATE_FRAME","Time_Based_Helmert_Coordinate_Frame","METHOD[""Time_Based_Helmert_Coordinate_Frame""]","METHOD[""Time_Based_Helmert_Coordinate_Frame""]","Coordinate Frame (14-parameter)","Esri","12.6.0","no"
