wkid,latestWkid,macro,name,wkt,wkt2,description,authority,version,deprecated
100001,100001,"PE_PAR_FALSE_EASTING","False_Easting","PARAMETER[""False_Easting"",0.0]","PARAMETER[""False_Easting"",0.0]","X0 - False Easting","Esri","3.0.1","no"
100002,100002,"PE_PAR_FALSE_NORTHING","False_Northing","PARAMETER[""False_Northing"",0.0]","PARAMETER[""False_Northing"",0.0]","Y0 - False Northing","Esri","3.0.1","no"
100003,100003,"PE_PAR_SCALE_FACTOR","Scale_Factor","PARAMETER[""Scale_Factor"",1.0]","PARAMETER[""Scale_Factor"",1.0]","K0 - Scale Factor","Esri","3.0.1","no"
100004,100004,"PE_PAR_AZIMUTH","Azimuth","PARAMETER[""Azimuth"",45.0]","PARAMETER[""Azimuth"",45.0]","ALPHA - Azimuth","Esri","3.0.1","no"
100005,100005,"PE_PAR_HEIGHT","Height","PARAMETER[""Height"",0.0]","PARAMETER[""Height"",0.0]","HEIGHT - Height","Esri","8.1.1","no"
100006,100006,"PE_PAR_VERTICAL_SHIFT","Vertical_Shift","PARAMETER[""Vertical_Shift"",0.0]","PARAMETER[""Vertical_Shift"",0.0]","Z0 - Vertical Shift","Esri","9.2.0","no"
100007,100007,"PE_PAR_DIRECTION","Direction","PARAMETER[""Direction"",1.0]","PARAMETER[""Direction"",1.0]","DIR - Direction (Height +, Depth -)","Esri","9.2.0","no"
100010,100010,"PE_PAR_CENTRAL_MERIDIAN","Central_Meridian","PARAMETER[""Central_Meridian"",0.0]","PARAMETER[""Central_Meridian"",0.0]","LAM0 - Central Meridian","Esri","3.0.1","no"
100011,100011,"PE_PAR_LONGITUDE_OF_ORIGIN","Longitude_Of_Origin","PARAMETER[""Longitude_Of_Origin"",0.0]","PARAMETER[""Longitude_Of_Origin"",0.0]","LAM0 - Longitude of Origin","Esri","3.0.1","no"
100012,100012,"PE_PAR_LONGITUDE_OF_CENTER","Longitude_Of_Center","PARAMETER[""Longitude_Of_Center"",-75.0]","PARAMETER[""Longitude_Of_Center"",-75.0]","LAMC - Longitude of Center","Esri","8.0.1","no"
100013,100013,"PE_PAR_LONGITUDE_OF_1ST","Longitude_Of_1st_Point","PARAMETER[""Longitude_Of_1st_Point"",0.0]","PARAMETER[""Longitude_Of_1st_Point"",0.0]","LAM1 - Longitude of 1st Point","Esri","3.0.1","no"
100014,100014,"PE_PAR_LONGITUDE_OF_2ND","Longitude_Of_2nd_Point","PARAMETER[""Longitude_Of_2nd_Point"",60.0]","PARAMETER[""Longitude_Of_2nd_Point"",60.0]","LAM2 - Longitude of 2nd Point","Esri","3.0.1","no"
100020,100020,"PE_PAR_CENTRAL_PARALLEL","Central_Parallel","PARAMETER[""Central_Parallel"",0.0]","PARAMETER[""Central_Parallel"",0.0]","PHI0 - Central Parallel","Esri","3.0.1","no"
100021,100021,"PE_PAR_LATITUDE_OF_ORIGIN","Latitude_Of_Origin","PARAMETER[""Latitude_Of_Origin"",0.0]","PARAMETER[""Latitude_Of_Origin"",0.0]","PHI0 - Latitude of Origin","Esri","3.0.1","no"
100022,100022,"PE_PAR_LATITUDE_OF_CENTER","Latitude_Of_Center","PARAMETER[""Latitude_Of_Center"",40.0]","PARAMETER[""Latitude_Of_Center"",40.0]","PHIC - Latitude of Center","Esri","8.0.1","no"
100023,100023,"PE_PAR_LATITUDE_OF_1ST","Latitude_Of_1st_Point","PARAMETER[""Latitude_Of_1st_Point"",0.0]","PARAMETER[""Latitude_Of_1st_Point"",0.0]","PHI1 - Latitude of 1st Point","Esri","3.0.1","no"
100024,100024,"PE_PAR_LATITUDE_OF_2ND","Latitude_Of_2nd_Point","PARAMETER[""Latitude_Of_2nd_Point"",60.0]","PARAMETER[""Latitude_Of_2nd_Point"",60.0]","PHI2 - Latitude of 2nd Point","Esri","3.0.1","no"
100025,100025,"PE_PAR_STANDARD_PARALLEL_1","Standard_Parallel_1","PARAMETER[""Standard_Parallel_1"",60.0]","PARAMETER[""Standard_Parallel_1"",60.0]","PHI1 - Standard Parallel 1","Esri","3.0.1","no"
100026,100026,"PE_PAR_STANDARD_PARALLEL_2","Standard_Parallel_2","PARAMETER[""Standard_Parallel_2"",60.0]","PARAMETER[""Standard_Parallel_2"",60.0]","PHI2 - Standard Parallel 2","Esri","3.0.1","no"
100027,100027,"PE_PAR_PSEUDO_STANDARD_PARALLEL_1","Pseudo_Standard_Parallel_1","PARAMETER[""Pseudo_Standard_Parallel_1"",60.0]","PARAMETER[""Pseudo_Standard_Parallel_1"",60.0]","PHI1 - Pseudo-standard Parallel 1","Esri","8.1.0","no"
100035,100035,"PE_PAR_AUXILIARY_SPHERE_TYPE","Auxiliary_Sphere_Type","PARAMETER[""Auxiliary_Sphere_Type"",0.0]","PARAMETER[""Auxiliary_Sphere_Type"",0.0]","AUXS - Auxiliary Sphere Type","Esri","9.3.0.0","no"
100036,100036,"PE_PAR_OPTION","Option","PARAMETER[""Option"",0.0]","PARAMETER[""Option"",0.0]","OPTION - Option","Esri","9.0.0","no"
100037,100037,"PE_PAR_X_SCALE","X_Scale","PARAMETER[""X_Scale"",1.0]","PARAMETER[""X_Scale"",1.0]","XS - X Scale","Esri","8.1.0","no"
100038,100038,"PE_PAR_Y_SCALE","Y_Scale","PARAMETER[""Y_Scale"",1.0]","PARAMETER[""Y_Scale"",1.0]","YS - Y Scale","Esri","8.1.0","no"
100039,100039,"PE_PAR_XY_PLANE_ROTATION","XY_Plane_Rotation","PARAMETER[""XY_Plane_Rotation"",0.0]","PARAMETER[""XY_Plane_Rotation"",0.0]","XYR - XY Plane Rotation","Esri","8.1.0","no"
100040,100040,"PE_PAR_X_AXIS_TRANSLATION","X_Axis_Translation","PARAMETER[""X_Axis_Translation"",0.0]","PARAMETER[""X_Axis_Translation"",0.0]","DX - X Axis Translation","Esri","3.0.1","no"
100041,100041,"PE_PAR_Y_AXIS_TRANSLATION","Y_Axis_Translation","PARAMETER[""Y_Axis_Translation"",0.0]","PARAMETER[""Y_Axis_Translation"",0.0]","DY - Y Axis Translation","Esri","3.0.1","no"
100042,100042,"PE_PAR_Z_AXIS_TRANSLATION","Z_Axis_Translation","PARAMETER[""Z_Axis_Translation"",0.0]","PARAMETER[""Z_Axis_Translation"",0.0]","DZ - Z Axis Translation","Esri","3.0.1","no"
100043,100043,"PE_PAR_X_AXIS_ROTATION","X_Axis_Rotation","PARAMETER[""X_Axis_Rotation"",0.0]","PARAMETER[""X_Axis_Rotation"",0.0]","RX - X Axis of Rotation","Esri","3.0.1","no"
100044,100044,"PE_PAR_Y_AXIS_ROTATION","Y_Axis_Rotation","PARAMETER[""Y_Axis_Rotation"",0.0]","PARAMETER[""Y_Axis_Rotation"",0.0]","RY - Y Axis of Rotation","Esri","3.0.1","no"
100045,100045,"PE_PAR_Z_AXIS_ROTATION","Z_Axis_Rotation","PARAMETER[""Z_Axis_Rotation"",0.0]","PARAMETER[""Z_Axis_Rotation"",0.0]","RZ - Z Axis of Rotation","Esri","3.0.1","no"
100046,100046,"PE_PAR_SCALE_DIFFERENCE","Scale_Difference","PARAMETER[""Scale_Difference"",0.0]","PARAMETER[""Scale_Difference"",0.0]","DS - Scale Difference","Esri","8.0.1","no"
100047,100047,"PE_PAR_NAME_DATASET","Dataset_","PARAMETER[""Dataset_"",0.0]","PARAMETERFILE[""""]","ND - Dataset Name","Esri","4.0.0","no"
100048,100048,"PE_PAR_X_COORD_OF_ROTATION_ORIGIN","X_Coordinate_of_Rotation_Origin","PARAMETER[""X_Coordinate_of_Rotation_Origin"",0.0]","PARAMETER[""X_Coordinate_of_Rotation_Origin"",0.0]","XCR - X Coordinate of Rotation Origin","Esri","9.0.0","no"
100049,100049,"PE_PAR_Y_COORD_OF_ROTATION_ORIGIN","Y_Coordinate_of_Rotation_Origin","PARAMETER[""Y_Coordinate_of_Rotation_Origin"",0.0]","PARAMETER[""Y_Coordinate_of_Rotation_Origin"",0.0]","YCR - Y Coordinate of Rotation Origin","Esri","9.0.0","no"
100050,100050,"PE_PAR_Z_COORD_OF_ROTATION_ORIGIN","Z_Coordinate_of_Rotation_Origin","PARAMETER[""Z_Coordinate_of_Rotation_Origin"",0.0]","PARAMETER[""Z_Coordinate_of_Rotation_Origin"",0.0]","ZCR - Z Coordinate of Rotation Origin","Esri","9.0.0","no"
