wkid,latestWkid,macro,name,wkt,description,authority,version,deprecated
8901,8901,"PE_PM_GREENWICH","Greenwich","PRIMEM[""Greenwich"",0.0]","0~ 00' 00'' E","EPSG","9.0(3.0.1)","no"
8902,8902,"PE_PM_LISBON","Lisbon","PRIMEM[""Lisbon"",-9.131906111111112]","9~ 07' 54''.862 W","EPSG","8.5(3.0.1)","no"
8903,8903,"PE_PM_PARIS","Paris","PRIMEM[""Paris"",2.337229166666667]","2~ 20' 14''.025 E","EPSG","6.16(3.0.1)","no"
8904,8904,"PE_PM_BOGOTA","Bogota","PRIMEM[""Bogota"",-74.08091666666667]","74~ 04' 51''.3 W","EPSG","8.5(3.0.1)","no"
8905,8905,"PE_PM_MADRID","Madrid","PRIMEM[""Madrid"",-3.687938888888889]","3~ 41' 16''.58 W","EPSG","8.5(3.0.1)","no"
8906,8906,"PE_PM_ROME","Rome","PRIMEM[""Rome"",12.45233333333333]","12~ 27' 08''.4 E","EPSG","2.1(3.0.1)","no"
8907,8907,"PE_PM_BERN","Bern","PRIMEM[""Bern"",7.439583333333333]","7~ 26' 22''.5 E","EPSG","6.16(3.0.1)","no"
8908,8908,"PE_PM_JAKARTA","Jakarta","PRIMEM[""Jakarta"",106.8077194444444]","106~ 48' 27''.79 E","EPSG","2.1(3.0.1)","no"
8909,8909,"PE_PM_FERRO","Ferro","PRIMEM[""Ferro"",-17.66666666666667]","17~ 40' 00'' W","EPSG","8.5(3.0.1)","no"
8910,8910,"PE_PM_BRUSSELS","Brussels","PRIMEM[""Brussels"",4.367975]","4~ 22' 04''.71 E","EPSG","2.1(3.0.1)","no"
8911,8911,"PE_PM_STOCKHOLM","Stockholm","PRIMEM[""Stockholm"",18.05827777777778]","18~ 03' 29''.8 E","EPSG","2.1(3.0.1)","no"
8912,8912,"PE_PM_ATHENS","Athens","PRIMEM[""Athens"",23.7163375]","23~ 42' 58''.815 E","EPSG","3.2(4.0.0)","no"
8913,8913,"PE_PM_OSLO","Oslo","PRIMEM[""Oslo"",10.72291666666667]","10~ 43' 22''.5 E","EPSG","4.4(8.1.0)","no"
8914,8914,"PE_PM_PARIS_RGS","Paris_RGS","PRIMEM[""Paris_RGS"",2.337208333333333]","2~ 20' 13''.95 E","EPSG","6.15(10.0.0)","no"
108900,108900,"PE_PM_REFERENCE","Reference_Meridian","PRIMEM[""Reference_Meridian"",0.0]","Generic meridian origin","Esri","9.0.0","no"
