wkid,latestWkid,macro,name,wkt,description,authority,version,deprecated
43001,43001,"PE_PRJ_PLATE_CARREE","Plate_Carree","PROJECTION[""Plate_Carree""]","Plate Carree","Esri","3.0.1","no"
43002,43002,"PE_PRJ_EQUIDISTANT_CYLINDRICAL","Equidistant_Cylindrical","PROJECTION[""Equidistant_Cylindrical""]","Equidistant Cylindrical","Esri","3.0.1","no"
43003,43003,"PE_PRJ_MILLER_CYLINDRICAL","Miller_Cylindrical","PROJECTION[""Miller_Cylindrical""]","Miller Cylindrical","Esri","3.0.1","no"
43004,43004,"PE_PRJ_MERCATOR","Mercator","PROJECTION[""Mercator""]","Mercator (also known as Mercator Variant B - standard parallel version)","Esri","3.0.1","no"
43005,43005,"PE_PRJ_GAUSS_KRUGER","Gauss_Kruger","PROJECTION[""Gauss_Kruger""]","Gauss-Kruger","Esri","3.0.1","no"
43006,43006,"PE_PRJ_TRANSVERSE_MERCATOR","Transverse_Mercator","PROJECTION[""Transverse_Mercator""]","Transverse Mercator = Gauss Kruger","Esri","3.0.1","no"
43007,43007,"PE_PRJ_ALBERS","Albers","PROJECTION[""Albers""]","Albers","Esri","3.0.1","no"
43008,43008,"PE_PRJ_SINUSOIDAL","Sinusoidal","PROJECTION[""Sinusoidal""]","Sinusoidal","Esri","3.0.1","no"
43009,43009,"PE_PRJ_MOLLWEIDE","Mollweide","PROJECTION[""Mollweide""]","Mollweide","Esri","3.0.1","no"
43010,43010,"PE_PRJ_ECKERT_VI","Eckert_VI","PROJECTION[""Eckert_VI""]","Eckert VI","Esri","3.0.1","no"
43011,43011,"PE_PRJ_ECKERT_V","Eckert_V","PROJECTION[""Eckert_V""]","Eckert V","Esri","3.0.1","no"
43012,43012,"PE_PRJ_ECKERT_IV","Eckert_IV","PROJECTION[""Eckert_IV""]","Eckert IV","Esri","3.0.1","no"
43013,43013,"PE_PRJ_ECKERT_III","Eckert_III","PROJECTION[""Eckert_III""]","Eckert III","Esri","3.0.1","no"
43014,43014,"PE_PRJ_ECKERT_II","Eckert_II","PROJECTION[""Eckert_II""]","Eckert II","Esri","3.0.1","no"
43015,43015,"PE_PRJ_ECKERT_I","Eckert_I","PROJECTION[""Eckert_I""]","Eckert I","Esri","3.0.1","no"
43016,43016,"PE_PRJ_GALL_STEREOGRAPHIC","Gall_Stereographic","PROJECTION[""Gall_Stereographic""]","Gall Stereographic","Esri","3.0.1","no"
43017,43017,"PE_PRJ_BEHRMANN","Behrmann","PROJECTION[""Behrmann""]","Behrmann","Esri","3.0.1","no"
43018,43018,"PE_PRJ_WINKEL_I","Winkel_I","PROJECTION[""Winkel_I""]","Winkel I","Esri","3.0.1","no"
43019,43019,"PE_PRJ_WINKEL_II","Winkel_II","PROJECTION[""Winkel_II""]","Winkel II","Esri","3.0.1","no"
43020,43020,"PE_PRJ_LAMBERT_CONFORMAL_CONIC","Lambert_Conformal_Conic","PROJECTION[""Lambert_Conformal_Conic""]","Lambert Conformal Conic","Esri","3.0.1","no"
43021,43021,"PE_PRJ_POLYCONIC","Polyconic","PROJECTION[""Polyconic""]","Polyconic","Esri","3.0.1","no"
43022,43022,"PE_PRJ_QUARTIC_AUTHALIC","Quartic_Authalic","PROJECTION[""Quartic_Authalic""]","Quartic Authalic","Esri","3.0.1","no"
43023,43023,"PE_PRJ_LOXIMUTHAL","Loximuthal","PROJECTION[""Loximuthal""]","Loximuthal","Esri","3.0.1","no"
43024,43024,"PE_PRJ_BONNE","Bonne","PROJECTION[""Bonne""]","Bonne","Esri","3.0.1","no"
43025,43025,"PE_PRJ_HOTINE_TWO_POINT_NATORIGIN","Hotine_Oblique_Mercator_Two_Point_Natural_Origin","PROJECTION[""Hotine_Oblique_Mercator_Two_Point_Natural_Origin""]","Hotine 2 Point Natural Origin","Esri","3.0.1","no"
