wkid,latestWkid,macro,name,wkt,description,authority,version,deprecated
1027,1027,"PE_VERTD_EGM2008_GEOID","EGM2008_Geoid","VDATUM[""EGM2008_Geoid""]","EGM2008 Geoid","EPSG","8.8(10.1.0)","no"
1028,1028,"PE_VERTD_FAO_1979","Fao_1979","VDATUM[""Fao_1979""]","Fao 1979","EPSG","7.4.4(10.1.0)","no"
1030,1030,"PE_VERTD_N2000","N2000","VDATUM[""N2000""]","N2000","EPSG","9.4(10.1.0)","no"
1039,1039,"PE_VERTD_NZVD_2009","New_Zealand_Vertical_Datum_2009","VDATUM[""New_Zealand_Vertical_Datum_2009""]","New Zealand Vertical Datum 2009","EPSG","7.9.4(10.1.0)","no"
1040,1040,"PE_VERTD_DUNEDIN_BLUFF_1960","Dunedin_Bluff_1960","VDATUM[""Dunedin_Bluff_1960""]","Dunedin-Bluff 1960","EPSG","7.6.4(10.1.0)","no"
1049,1049,"PE_VERTD_INCHEON","Incheon","VDATUM[""Incheon""]","Incheon","EPSG","7.5.6(10.1.0)","no"
1050,1050,"PE_VERTD_TRIESTE","Trieste","VDATUM[""Trieste""]","Trieste","EPSG","7.5.8(10.1.0)","no"
1051,1051,"PE_VERTD_GENOA","Genoa","VDATUM[""Genoa""]","Genoa","EPSG","7.5.8(10.1.0)","no"
1054,1054,"PE_VERTD_SRI_LANKA_VERTICAL_DATUM","Sri_Lanka_Vertical_Datum","VDATUM[""Sri_Lanka_Vertical_Datum""]","Sri Lanka Vertical Datum","EPSG","7.5.9(10.1.0)","no"
1059,1059,"PE_VERTD_FAROE_ISLANDS_VR_2009","Faroe_Islands_Vertical_Reference_2009","VDATUM[""Faroe_Islands_Vertical_Reference_2009""]","Faroe Islands Vertical Reference 2009","EPSG","7.6(10.1.0)","no"
1079,1079,"PE_VERTD_FEH_VR_2010","Fehmarnbelt_Vertical_Reference_2010","VDATUM[""Fehmarnbelt_Vertical_Reference_2010""]","Fehmarnbelt Vertical Reference 2010","EPSG","7.9.1(10.1.1)","no"
1080,1080,"PE_VERTD_LAT","Lowest_Astronomic_Tide","VDATUM[""Lowest_Astronomic_Tide""]","Lowest Astronomical Tide","EPSG","9.1.1(10.2.0)","no"
1082,1082,"PE_VERTD_HAT","Highest_Astronomic_Tide","VDATUM[""Highest_Astronomic_Tide""]","Highest Astronomical Tide","EPSG","9.1.1(10.2.0)","no"
1083,1083,"PE_VERTD_LLWLT","Lower_Low_Water_Large_Tide","VDATUM[""Lower_Low_Water_Large_Tide""]","Lower Low Water Large Tide","EPSG","9.1.1(10.2.0)","no"
1084,1084,"PE_VERTD_HHWLT","Higher_High_Water_Large_Tide","VDATUM[""Higher_High_Water_Large_Tide""]","Higher High Water Large Tide","EPSG","9.1.1(10.2.0)","no"
1085,1085,"PE_VERTD_ISLW","Indian_Spring_Low_Water","VDATUM[""Indian_Spring_Low_Water""]","Indian Spring Low Water","EPSG","9.1.1(10.2.0)","no"
1086,1086,"PE_VERTD_MLLWS","Mean_Lower_Low_Water_Spring_Tides","VDATUM[""Mean_Lower_Low_Water_Spring_Tides""]","Mean Lower Low Water Spring Tides","EPSG","9.1.1(10.2.0)","no"
1087,1087,"PE_VERTD_MLWS","Mean_Low_Water_Spring_Tides","VDATUM[""Mean_Low_Water_Spring_Tides""]","Mean Low Water Spring Tides","EPSG","9.1.1(10.2.0)","no"
1088,1088,"PE_VERTD_MHWS","Mean_High_Water_Spring_Tides","VDATUM[""Mean_High_Water_Spring_Tides""]","Mean High Water Spring Tides","EPSG","9.1.1(10.2.0)","no"
1089,1089,"PE_VERTD_MLLW","Mean_Lower_Low_Water","VDATUM[""Mean_Lower_Low_Water""]","Mean Lower Low Water","EPSG","9.1.1(10.2.0)","no"
1090,1090,"PE_VERTD_MHHW","Mean_Higher_High_Water","VDATUM[""Mean_Higher_High_Water""]","Mean Higher High Water","EPSG","9.1.1(10.2.0)","no"
1091,1091,"PE_VERTD_MLW","Mean_Low_Water","VDATUM[""Mean_Low_Water""]","Mean Low Water","EPSG","9.1.1(10.2.0)","no"
1092,1092,"PE_VERTD_MHW","Mean_High_Water","VDATUM[""Mean_High_Water""]","Mean High Water","EPSG","9.1.1(10.2.0)","no"
1093,1093,"PE_VERTD_LW","Low_Water","VDATUM[""Low_Water""]","Low Water","EPSG","9.1.1(10.2.0)","no"
1094,1094,"PE_VERTD_HW","High_Water","VDATUM[""High_Water""]","High Water","EPSG","9.1.1(10.2.0)","no"
1096,1096,"PE_VERTD_NORWAY_NORMAL_NULL_2000","Norway_Normal_Null_2000","VDATUM[""Norway_Normal_Null_2000""]","Norway Normal Null 2000","EPSG","8.1.1(10.2.0)","no"
1097,1097,"PE_VERTD_GRAND_CAYMAN_VERTICAL_DATUM_1954","Grand_Cayman_Vertical_Datum_1954","VDATUM[""Grand_Cayman_Vertical_Datum_1954""]","Grand Cayman Vertical Datum 1954","EPSG","8.1.1(10.2.1)","no"
