wkid,latestWkid,macro,name,wkt,wkt2,description,authority,version,deprecated,areaname,slat,nlat,llon,rlon,epoch,model
3855,3855,"PE_VCS_EGM2008_GEOID","EGM2008_Geoid","VERTCS[""EGM2008_Geoid"",VDATUM[""EGM2008_Geoid""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""EGM2008_Geoid"",VDATUM[""EGM2008_Geoid""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","EGM2008 Geoid","EPSG","6.18.3(10.1.0)","no","World",-90.0,90.0,-180.0,180.0,,""
3886,3886,"PE_VCS_FAO_1979","Fao_1979","VERTCS[""Fao_1979"",VDATUM[""Fao_1979""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Fao_1979"",VDATUM[""Fao_1979""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Fao 1979","EPSG","7.1(10.1.0)","no","Iraq - onshore",29.06,37.39,38.79,48.61,,""
3900,3900,"PE_VCS_N2000","N2000_height","VERTCS[""N2000_height"",VDATUM[""N2000""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""N2000_height"",VDATUM[""N2000""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","N2000","EPSG","7.5.1(10.1.0)","no","Finland - onshore",59.75,70.09,19.24,31.59,,""
4440,4440,"PE_VCS_NZVD2009","NZVD2009_height","VERTCS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""NZVD2009_height"",VDATUM[""New_Zealand_Vertical_Datum_2009""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","NZVD2009","EPSG","7.1.9(10.1.0)","no","New Zealand",-55.95,-25.88,160.6,-171.2,,""
4458,4458,"PE_VCS_DUNEDIN_BLUFF_1960","Dunedin_Bluff_1960_height","VERTCS[""Dunedin_Bluff_1960_height"",VDATUM[""Dunedin_Bluff_1960""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Dunedin_Bluff_1960_height"",VDATUM[""Dunedin_Bluff_1960""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Dunedin-Bluff 1960","EPSG","7.1.9(10.1.0)","no","New Zealand - South Island - Dunedin-Bluff vcrs",-46.73,-44.52,166.37,169.95,,""
5193,5193,"PE_VCS_INCHEON_HT","KVD1964_Height","VERTCS[""KVD1964_Height"",VDATUM[""Korean_Vertical_Datum_1964""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""KVD1964_Height"",VDATUM[""Korean_Vertical_Datum_1964""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","KVD1964 (Height)","EPSG","7.5.6(10.1.0)","no","Korea, Republic of (South Korea) - onshore",33.14,38.64,124.53,131.01,,""
5195,5195,"PE_VCS_TRIESTE_HT","Trieste_height","VERTCS[""Trieste_height"",VDATUM[""Trieste""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Trieste_height"",VDATUM[""Trieste""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Trieste (Height)","EPSG","7.5.8(10.1.0)","no","Europe - former Yugoslavia onshore",40.85,46.88,13.38,23.04,,""
5214,5214,"PE_VCS_GENOA_HT","Genoa_height","VERTCS[""Genoa_height"",VDATUM[""Genoa""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Genoa_height"",VDATUM[""Genoa""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Genoa (Height)","EPSG","7.5.8(10.1.0)","no","Italy - mainland and Sicily",36.59,47.1,6.62,18.58,,""
5237,5237,"PE_VCS_SLVD_HT","SLVD_height","VERTCS[""SLVD_height"",VDATUM[""Sri_Lanka_Vertical_Datum""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""SLVD_height"",VDATUM[""Sri_Lanka_Vertical_Datum""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","SLVD (Height)","EPSG","7.5.9(10.1.0)","no","Sri Lanka - onshore",5.86,9.88,79.64,81.95,,""
5317,5317,"PE_VCS_FVR09_HT","FVR09_height","VERTCS[""FVR09_height"",VDATUM[""Faroe_Islands_Vertical_Reference_2009""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""FVR09_height"",VDATUM[""Faroe_Islands_Vertical_Reference_2009""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","FVR09 (Height)","EPSG","7.6(10.1.0)","no","Faroe Islands - onshore",61.33,62.41,-7.49,-6.33,,""
5336,5336,"PE_VCS_BLACK_SEA_D","Black_Sea_Depth","VERTCS[""Black_Sea_Depth"",VDATUM[""Black_Sea""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",-1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Black_Sea_Depth"",VDATUM[""Black_Sea""],CS[vertical,1],AXIS[""Gravity-related height (H)"",down,LENGTHUNIT[""Meter"",1.0]]]","Black Sea Depth","EPSG","7.6.4(10.2.0)","no","Georgia - onshore",41.04,43.59,39.99,46.72,,""
5597,5597,"PE_VCS_FCSVR10_HT","FCSVR10_Height","VERTCS[""FCSVR10_Height"",VDATUM[""Fehmarnbelt_Vertical_Reference_2010""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""FCSVR10_Height"",VDATUM[""Fehmarnbelt_Vertical_Reference_2010""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","FCSVR 2010 (Height)","EPSG","7.9.1(10.1.1)","no","Europe - Fehmarnbelt inner",54.42,54.76,11.17,11.51,,""
5600,5600,"PE_VCS_NGPF","NGPF","VERTCS[""NGPF"",VDATUM[""Nivellement_General_de_Polynesie_Francaise""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""NGPF"",VDATUM[""Nivellement_General_de_Polynesie_Francaise""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Nivellement General de Polynesie Francaise","EPSG","6.15(9.3.0.0)","no","French Polynesia - Society Islands - main islands",-17.93,-16.17,-152.39,-149.09,,""
5601,5601,"PE_VCS_IGN_1966","IGN_1966","VERTCS[""IGN_1966"",VDATUM[""IGN_1966""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""IGN_1966"",VDATUM[""IGN_1966""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","IGN 1966","EPSG","6.15(9.3.0.0)","no","French Polynesia - Society Islands - Tahiti",-17.93,-17.44,-149.7,-149.09,,""
5602,5602,"PE_VCS_MOOREA_SAU_1981","Moorea_SAU_1981","VERTCS[""Moorea_SAU_1981"",VDATUM[""Moorea_SAU_1981""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Moorea_SAU_1981"",VDATUM[""Moorea_SAU_1981""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Moorea SAU 1981","EPSG","6.15(9.3.0.0)","no","French Polynesia - Society Islands - Moorea",-17.63,-17.41,-150.0,-149.73,,""
5603,5603,"PE_VCS_RAIATEA_SAU_2001","Raiatea_SAU_2001","VERTCS[""Raiatea_SAU_2001"",VDATUM[""Raiatea_SAU_2001""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Raiatea_SAU_2001"",VDATUM[""Raiatea_SAU_2001""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Raiatea SAU 2001","EPSG","6.15(9.3.0.0)","no","French Polynesia - Society Islands - Raiatea",-16.96,-16.68,-151.55,-151.3,,""
5604,5604,"PE_VCS_MAUPITI_SAU_2001","Maupiti_SAU_2001","VERTCS[""Maupiti_SAU_2001"",VDATUM[""Maupiti_SAU_2001""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Maupiti_SAU_2001"",VDATUM[""Maupiti_SAU_2001""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Maupiti SAU 2001","EPSG","6.15(9.3.0.0)","no","French Polynesia - Society Islands - Maupiti",-16.57,-16.34,-152.39,-152.14,,""
5605,5605,"PE_VCS_HUAHINE_SAU_2001","Huahine_SAU_2001","VERTCS[""Huahine_SAU_2001"",VDATUM[""Huahine_SAU_2001""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Huahine_SAU_2001"",VDATUM[""Huahine_SAU_2001""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Huahine SAU 2001","EPSG","6.15(9.3.0.0)","no","French Polynesia - Society Islands - Huahine",-16.87,-16.63,-151.11,-150.89,,""
5606,5606,"PE_VCS_TAHAA_SAU_2001","Tahaa_SAU_2001","VERTCS[""Tahaa_SAU_2001"",VDATUM[""Tahaa_SAU_2001""],PARAMETER[""Vertical_Shift"",0.0],PARAMETER[""Direction"",1.0],UNIT[""Meter"",1.0]]","VERTCRS[""Tahaa_SAU_2001"",VDATUM[""Tahaa_SAU_2001""],CS[vertical,1],AXIS[""Gravity-related height (H)"",up,LENGTHUNIT[""Meter"",1.0]]]","Tahaa SAU 2001","EPSG","6.15(9.3.0.0)","no","French Polynesia - Society Islands - Tahaa",-16.72,-16.5,-151.63,-151.36,,""
