wkid,latestWkid,macro,name,wkt,wkt2,description,authority,version,deprecated
129601,129601,"PE_VTMTH_VDATUM","VDATUM","VTMETHOD[""VDATUM""]","METHOD[""VDATUM""]","New NOAA transformation grid file format","Esri","10.4.0","no"
129602,129602,"PE_VTMTH_HEIGHT_DEPTH_REVERSAL","Height_Depth_Reversal","VTMETHOD[""Height_Depth_Reversal""]","METHOD[""Height_Depth_Reversal""]","Height Depth Reversal","Esri","12.8.0","no"
129603,129603,"PE_VTMTH_NULL","Null","VTMETHOD[""Null""]","METHOD[""Null""]","Null transformation","Esri","12.8.0","no"
129604,129604,"PE_VTMTH_UNIT_CHANGE","Unit_Change","VTMETHOD[""Unit_Change""]","METHOD[""Unit_Change""]","Unit change transformation","Esri","12.8.0","no"
129605,129605,"PE_VTMTH_ZERO_TIDE_TO_MEAN_TIDE_EVRF2019","Zero_Tide_to_Mean_Tide_EVRF2019","VTMETHOD[""Zero_Tide_to_Mean_Tide_EVRF2019""]","METHOD[""Zero_Tide_to_Mean_Tide_EVRF2019""]","Zero-tide height to mean-tide height (EVRF2019)","Esri","12.9.0","no"
129616,129616,"PE_VTMTH_VERTICAL_OFFSET","Vertical_Offset","VTMETHOD[""Vertical_Offset""]","METHOD[""Vertical_Offset""]","Vertical Offset","Esri","9.3.0.0","no"
129617,129617,"PE_VTMTH_VERTICAL_OFFSET_GRID","Vertical_Offset_with_Grid","VTMETHOD[""Vertical_Offset_with_Grid""]","METHOD[""Vertical_Offset_with_Grid""]","Vertical Offset with Grid interpolation","Esri","12.9.0","no"
129657,129657,"PE_VTMTH_VERTICAL_OFFSET_SLOPE","Vertical_Offset_and_Slope","VTMETHOD[""Vertical_Offset_and_Slope""]","METHOD[""Vertical_Offset_and_Slope""]","Vertical Offset and Slope","Esri","9.3.0.0","no"
129658,129658,"PE_VTMTH_VERTCON","VERTCON","VTMETHOD[""VERTCON""]","METHOD[""VERTCON""]","VERTCON","Esri","9.3.0.0","no"
129659,129659,"PE_VTMTH_VERTCON3","VERTCON3","VTMETHOD[""VERTCON3""]","METHOD[""VERTCON3""]","VERTCON3","Esri","13.3.0","no"
129661,129661,"PE_VTMTH_EGM96","EGM96","VTMETHOD[""EGM96""]","METHOD[""EGM96""]","EGM96 bilinear interpolation","Esri","9.3.0.0","no"
129665,129665,"PE_VTMTH_GEOID","GEOID","VTMETHOD[""GEOID""]","METHOD[""GEOID""]","GEOID99, GEOID03, and GEOID06","Esri","9.3.0.0","no"
129761,129761,"PE_VTMTH_EGM96_NS","EGM96_Natural_Spline","VTMETHOD[""EGM96_Natural_Spline""]","METHOD[""EGM96_Natural_Spline""]","EGM96 natural spline interpolation","Esri","9.3.0.0","no"
129861,129861,"PE_VTMTH_EGM84","EGM84","VTMETHOD[""EGM84""]","METHOD[""EGM84""]","EGM84 bilinear interpolation","Esri","9.3.0.0","no"
129961,129961,"PE_VTMTH_EGM84_NS","EGM84_Natural_Spline","VTMETHOD[""EGM84_Natural_Spline""]","METHOD[""EGM84_Natural_Spline""]","EGM84 natural spline interpolation","Esri","9.3.0.0","no"
