#------------------------------------------------------------------------------------------------------
# DATUM description table
#
# syntax: [DATUM,] code, "utf8-description"
#------------------------------------------------------------------------------------------------------

PE_D_HUNGARIAN_DATUM_1909, "Hungarian Datum 1909"
PE_D_TWD_1967, "Taiwan 1967"
PE_D_TWD_1997, "Taiwan 1997"
PE_D_IRAQI_GEOSPATIAL_REFERENCE_SYSTEM, "Iraqi Geospatial Reference System"
PE_D_MGI_1901, "MGI 1901"
PE_D_MOLDREF99, "MOLDREF99"
PE_D_RESEAU_GEODESIQUE_DE_LA_RDC_2005, "Reseau Geodesique de la RDC 2005"
PE_D_SERBIAN_REFERENCE_NETWORK_1998, "Serbian Reference Network 1998"
PE_D_RED_GEODESICA_DE_CANARIAS_1995, "Red Geodesica de Canarias 1995"
PE_D_RESEAU_GEODESIQUE_DE_MAYOTTE_2004, "Reseau Geodesique de Mayotte 2004"
PE_D_CADASTRE_1997, "Cadastre 1997"
PE_D_RESEAU_GEODESIQUE_DE_ST_PIERRE_MIQUELON_2006, "Reseau Geodesique de St Pierre et Miquelon 2006"
PE_D_PTRA08, "Portugal - Autonomous Regions (Madeira and Azores Archipelagos)"
PE_D_MEXICAN_DATUM_1993, "Mexican Datum of 1993"
PE_D_CHINA_2000, "China 2000"
PE_D_SAO_TOME, "Sao Tome"
PE_D_NEW_BEIJING, "New Beijing"
PE_D_PRINCIPE, "Principe"
PE_D_RRAF_1991, "Reseau de Reference des Antilles Francaises 1991"
PE_D_TOKYO_1892, "Tokyo 1892"
PE_D_S_JTSK_05, "System Jednotne Trigonometricke Site Katastralni/05"
PE_D_SRI_LANKA_DATUM_1999, "Sri Lanka Datum 1999"
PE_D_S_JTSK_05_FERRO, "System Jednotne Trigonometricke Site Katastralni/05 (Ferro)"
PE_D_GDBD2009, "GDBD2009"
PE_D_TURKISH_NRF, "Turkish National Reference Frame"
PE_D_BHUTAN_NATIONAL_GEODETIC_DATUM, "Bhutan National Geodetic Datum"
PE_D_ISLANDS_NETWORK_2004, "Islands Network 2004"
PE_D_ITRF_2008, "International Terrestrial Reference Frame 2008"
PE_D_POSGAR_2007, "Posiciones Geodesicas Argentinas 2007"
PE_D_MARCO_GEODESICO_NACIONAL, "Marco Geodesico Nacional"
PE_D_SIRGAS_CHILE, "SIRGAS-Chile (Incorrectly changed to 1254. Ensemble 1254 dep by EPSG. S/b sirgas-chile 2002)"
PE_D_COSTA_RICA_2005, "Costa Rica 2005"
PE_D_SGNP_MARCARIO_SOLIS, "Sistema Geodesico Nacional de Panama MACARIO SOLIS"
PE_D_PERU96, "Peru96"
PE_D_SIRGAS_ROU98, "SIRGAS-ROU98"
PE_D_SIRGAS_ES2007_8, "SIRGAS_ES2007.8"
PE_D_OCOTEPEQUE_1935, "Ocotepeque 1935"
PE_D_SIBUN_GORGE_1922, "Sibun Gorge 1922"
PE_D_PANAMA_COLON_1911, "Panama-Colon 1911"
PE_D_RESEAU_GEODESIQUE_DES_ANTILLES_FRANCAISES_2009, "Reseau Geodesique des Antilles Francaises 2009"
PE_D_CORREGO_ALEGRE_1961, "Corrego Alegre 1961"
PE_D_SAD_1969_96, "South American Datum 1969(96)"
PE_D_PAPUA_NEW_GUINEA_GEODETIC_DATUM_1994, "Papua New Guinea Geodetic Datum 1994"
PE_D_UKRAINE_2000, "Ukraine 2000"
