#------------------------------------------------------------------------------------------------------
# GEOGCS description table
#
# syntax: [GEOGCS,] code, "utf8-description"
#------------------------------------------------------------------------------------------------------

PE_GCS_HD1909, "Hungarian Datum 1909"
PE_GCS_TWD_1967, "Taiwan 1967"
PE_GCS_TWD_1997_3D, "Taiwan 1997 (3D)"
PE_GCS_TWD_1997, "Taiwan 1997"
PE_GCS_IGRS_3D, "Iraqi Geospatial Reference System (3D)"
PE_GCS_IGRS, "Iraqi Geospatial Reference System"
PE_GCS_MGI_1901, "MGI 1901"
PE_GCS_AIRY_1830, "Airy 1830"
PE_GCS_AIRY_MOD, "Airy modified"
PE_GCS_AUSTRALIAN, "Australian National"
PE_GCS_BESSEL_1841, "Bessel 1841"
PE_GCS_BESSEL_MOD, "Bessel modified"
PE_GCS_BESSEL_NAMIBIA, "Bessel Namibia"
PE_GCS_CLARKE_1858, "Clarke 1858"
PE_GCS_CLARKE_1866, "Clarke 1866"
PE_GCS_CLARKE_1866_MICH, "Clarke 1866 Michigan"
PE_GCS_CLARKE_1880_BENOIT, "Clarke 1880 (Benoit)"
PE_GCS_CLARKE_1880_IGN, "Clarke 1880 (IGN)"
PE_GCS_CLARKE_1880_RGS, "Clarke 1880 (RGS)"
PE_GCS_CLARKE_1880_ARC, "Clarke 1880 (Arc)"
PE_GCS_CLARKE_1880_SGA, "Clarke 1880 (SGA)"
PE_GCS_EVEREST_ADJ_1937, "Everest (adjustment 1937)"
PE_GCS_EVEREST_DEF_1967, "Everest (definition 1967)"
PE_GCS_MOLDREF99_3D, "MOLDREF99 (3D)"
PE_GCS_EVEREST_MOD, "Everest modified"
PE_GCS_GRS_1980, "GRS 1980"
PE_GCS_HELMERT_1906, "Helmert 1906"
PE_GCS_INDONESIAN, "Indonesian National"
PE_GCS_INTERNATIONAL_1924, "International 1927"
PE_GCS_MOLDREF99, "MOLDREF99"
PE_GCS_KRASOVSKY_1940, "Krasovsky 1940"
PE_GCS_NWL_9D, "Transit precise ephemeris"
PE_GCS_PLESSIS_1817, "Plessis 1817"
PE_GCS_STRUVE_1860, "Struve 1860"
PE_GCS_WAR_OFFICE, "War Office"
PE_GCS_GEM_10C, "GEM gravity potential model"
PE_GCS_OSU_86F, "OSU 1986 geoidal model"
PE_GCS_OSU_91A, "OSU 1991 geoidal model"
PE_GCS_CLARKE_1880, "Clarke 1880"
PE_GCS_SPHERE, "Authalic sphere"
PE_GCS_GRS_1967, "GRS 1967"
PE_GCS_RGRDC_2005_3D, "Reseau Geodesique de la RDC 2005 (3D)"
PE_GCS_EVEREST_1830, "Everest 1830"
PE_GCS_EVEREST_DEF_1962, "Everest (definition 1962)"
PE_GCS_EVEREST_DEF_1975, "Everest (definition 1975)"
PE_GCS_RGRDC_2005, "Reseau Geodesique de la RDC 2005"
PE_GCS_SPHERE_GRS_1980_AUTHALIC, "GRS 1980 Authalic Sphere"
PE_GCS_SPHERE_CLARKE_1866_AUTHALIC, "Clarke 1866 Authalic Sphere"
PE_GCS_SPHERE_INTL_1924_AUTHALIC, "International 1924 Authalic Sphere"
PE_GCS_HUGHES_1980, "Hughes 1980"
PE_GCS_SPHERE_WGS_1984_MAJOR_AUXILIARY, "Major auxiliary sphere based on WGS 1984"
PE_GCS_SREF98_3D, "Serbian Reference Network 1998 (3D)"
PE_GCS_SREF98, "Serbian Reference Network 1998"
PE_GCS_REGCAN95_3D, "Red Geodesica de Canarias 1995 (3D)"
PE_GCS_REGCAN95, "Red Geodesica de Canarias 1995"
PE_GCS_GREEK, "Greek"
PE_GCS_GGRS_1987, "Greek Geodetic Ref. System 1987"
PE_GCS_ATS_1977, "Average Terrestrial System 1977"
PE_GCS_KKJ, "Kartastokoordinaattijarjestelma"
PE_GCS_RT90, "RT 1990"
PE_GCS_SAMBOJA, "Samboja (deprecated at 10.5.0)"
PE_GCS_TETE, "Tete"
PE_GCS_MADZANSUA, "Madzansua - superseded by Tete"
PE_GCS_OBSERVATARIO, "Observatario - superseded by Tete"
PE_GCS_MOZNET, "Moznet"
PE_GCS_INDIAN_1960, "Indian 1960"
PE_GCS_FD_1958, "Final Datum 1958"
PE_GCS_ESTONIA_1992, "Estonia 1992"
PE_GCS_PDO_1993, "PDO Survey Datum 1993"
PE_GCS_OLD_HAWAIIAN, "Old Hawaiian"
PE_GCS_ST_LAWRENCE_ISLAND, "Alaska - St. Lawrence Island"
PE_GCS_ST_PAUL_ISLAND, "Alaska - St. Paul Island"
PE_GCS_ST_GEORGE_ISLAND, "Alaska - St. George Island"
PE_GCS_PUERTO_RICO, "Puerto Rico"
PE_GCS_ISRAEL, "Israel"
PE_GCS_LOCODJO_1965, "Locodjo 1965"
PE_GCS_ABIDJAN_1987, "Abidjan 1987"
PE_GCS_KALIANPUR_1937, "Kalianpur 1937"
PE_GCS_KALIANPUR_1962, "Kalianpur 1962"
PE_GCS_KALIANPUR_1975, "Kalianpur 1975"
PE_GCS_HANOI_1972, "Hanoi 1972"
PE_GCS_HARTEBEESTHOEK94, "Hartebeesthoek 1994"
PE_GCS_CH1903, "CH 1903"
PE_GCS_CH1903_PLUS, "CH 1903+"
PE_GCS_CHTRF_1995, "Swiss Terrestrial Ref Frame 1995"
PE_GCS_NAD_1983_HARN, "North American Datum 1983 (HARN)"
PE_GCS_RASSADIRAN, "Rassadiran"
PE_GCS_ED_1950_ED77, "ED 1950 (ED77)"
PE_GCS_DABOLA_1981, "Dabola 1981"
PE_GCS_S_JTSK, "S-JTSK"
PE_GCS_MOUNT_DILLON, "Mount Dillon"
PE_GCS_NAPARIMA_1955, "Naparima 1955"
PE_GCS_EUROPEAN_LIBYAN_1979, "European Libyan Datum 1979"
PE_GCS_CHOS_MALAL_1914, "Chos Malal 1914"
PE_GCS_PAMPA_DEL_CASTILLO, "Pampa del Castillo"
PE_GCS_KOREAN_1985, "Korean Datum 1985"
PE_GCS_YEMEN_NGN_1996, "Yemen Nat'l Geodetic Network 1996"
PE_GCS_SOUTH_YEMEN, "South Yemen"
PE_GCS_BISSAU, "Bissau"
PE_GCS_KOREAN_1995, "Korean Datum 1995"
PE_GCS_NZGD_2000, "New Zealand Geodetic Datum 2000"
PE_GCS_ACCRA, "Accra"
PE_GCS_SAMOA_1962, "American Samoa 1962"
PE_GCS_SIRGAS, "SIRGAS"
PE_GCS_RGF_1993, "Reseau Geodesique Francais 1993"
PE_GCS_POSGAR, "POSGAR"
PE_GCS_IRENET95, "IRENET95"
PE_GCS_SIERRA_LEONE_1924, "Sierra Leone 1924"
PE_GCS_SIERRA_LEONE_1968, "Sierra Leone 1968"
PE_GCS_AUSTRALIAN_ANTARCTIC_1998, "Australian Antarctic Datum 1998"
PE_GCS_PULKOVO_1942_ADJ_1983, "Pulkovo 1942/83"
PE_GCS_PULKOVO_1942_ADJ_1958, "Pulkovo 1942/58"
PE_GCS_ESTONIA_1997, "Estonia 1997"
PE_GCS_LUXEMBOURG_1930, "Luxembourg 1930"
PE_GCS_AZORES_OCCIDENTAL_1939, "Azores Occidental Islands 1939"
PE_GCS_AZORES_CENTRAL_1948, "Azores Central Islands 1948"
PE_GCS_AZORES_ORIENTAL_1940, "Azores Oriental Islands 1940"
PE_GCS_MADEIRA_1936, "Madeira 1936"
PE_GCS_OSNI_1952, "OSNI 1952"
PE_GCS_REGVEN, "REGVEN"
PE_GCS_POSGAR_1998, "POSGAR 1998"
PE_GCS_ALBANIAN_1987, "Albanian 1987"
PE_GCS_DOUALA_1948, "Douala 1948"
PE_GCS_MANOCA_1962, "Manoca 1962"
PE_GCS_QORNOQ_1927, "Qornoq 1927"
PE_GCS_SCORESBYSUND_1952, "Scoresbysund 1952"
PE_GCS_AMMASSALIK_1958, "Ammassalik 1958"
PE_GCS_GAROUA, "Garoua"
PE_GCS_KOUSSERI, "Kousseri"
PE_GCS_EGYPT_1930, "Egypt 1930"
PE_GCS_PULKOVO_1995, "Pulkovo 1995"
PE_GCS_ADINDAN, "Adindan"
PE_GCS_AGD_1966, "Australian Geodetic Datum 1966"
PE_GCS_AGD_1984, "Australian Geodetic Datum 1984"
PE_GCS_AIN_EL_ABD_1970, "Ain el Abd 1970"
PE_GCS_AFGOOYE, "Afgooye"
PE_GCS_AGADEZ, "Agadez"
PE_GCS_LISBON, "Lisbon"
PE_GCS_ARATU, "Aratu"
PE_GCS_ARC_1950, "Arc 1950"
PE_GCS_ARC_1960, "Arc 1960"
PE_GCS_BATAVIA, "Batavia"
PE_GCS_BARBADOS_1938, "Barbados 1938"
PE_GCS_BEDUARAM, "Beduaram"
PE_GCS_BEIJING_1954, "Beijing 1954"
PE_GCS_BELGE_1950, "Reseau National Belge 1950"
PE_GCS_BERMUDA_1957, "Bermuda 1957"
PE_GCS_BOGOTA, "Bogota"
PE_GCS_BUKIT_RIMPAH, "Bukit Rimpah"
PE_GCS_CAMACUPA, "Camacupa"
PE_GCS_CAMPO_INCHAUSPE, "Campo Inchauspe"
PE_GCS_CAPE, "Cape"
PE_GCS_CARTHAGE, "Carthage"
PE_GCS_CHUA, "Chua"
PE_GCS_CORREGO_ALEGRE, "Corrego Alegre"
PE_GCS_COTE_D_IVOIRE, "Cote d'Ivoire"
PE_GCS_DEIR_EZ_ZOR, "Deir ez Zor"
PE_GCS_DOUALA, "Douala"
PE_GCS_EGYPT_1907, "Egypt 1907"
PE_GCS_ED_1950, "European Datum 1950"
PE_GCS_ED_1987, "European Datum 1987"
PE_GCS_FAHUD, "Fahud"
PE_GCS_GANDAJIKA_1970, "Gandajika 1970 (DEPRECATED - use PE_GCS_GAN_1970)"
PE_GCS_GUYANE_FRANCAISE, "Guyane Francaise"
PE_GCS_HU_TZU_SHAN, "Hu Tzu Shan"
PE_GCS_HUNGARIAN_1972, "Hungarian Datum 1972"
PE_GCS_INDONESIAN_1974, "Indonesian Datum 1974"
PE_GCS_INDIAN_1954, "Indian 1954"
PE_GCS_INDIAN_1975, "Indian 1975"
PE_GCS_JAMAICA_1875, "Jamaica 1875"
PE_GCS_JAMAICA_1969, "Jamaica 1969"
PE_GCS_KALIANPUR_1880, "Kalianpur 1880"
PE_GCS_KANDAWALA, "Kandawala"
PE_GCS_KERTAU, "Kertau"
PE_GCS_KOC, "Kuwait Oil Company"
PE_GCS_LA_CANOA, "La Canoa"
PE_GCS_PSAD_1956, "Provisional South Amer. Datum 1956"
PE_GCS_LAKE, "Lake"
PE_GCS_LEIGON, "Leigon"
PE_GCS_LIBERIA_1964, "Liberia 1964"
PE_GCS_LOME, "Lome"
PE_GCS_LUZON_1911, "Luzon 1911"
PE_GCS_HITO_XVIII_1963, "Hito XVIII 1963"
PE_GCS_HERAT_NORTH, "Herat North"
PE_GCS_MAHE_1971, "Mahe 1971"
PE_GCS_MAKASSAR, "Makassar"
PE_GCS_ETRS_1989, "European Terrestrial Ref. System 1989"
PE_GCS_MALONGO_1987, "Malongo 1987"
PE_GCS_MANOCA, "Manoca"
PE_GCS_MERCHICH, "Merchich"
PE_GCS_MASSAWA, "Massawa"
PE_GCS_MINNA, "Minna"
PE_GCS_MHAST, "Mhast (DEPRECATED - use PE_GCS_MALONGO_1987)"
