#------------------------------------------------------------------------------------------------------
# GEOGTRAN deprecated table
#
# syntax: [GEOGTRAN,] factory-code, status
#------------------------------------------------------------------------------------------------------

PE_GT_GUAM_1963_TO_HARN_GU, discontinued
1086, dead
PE_GT_ARC_1950_TO_WGS_1984_3, discontinued
PE_GT_ARC_1950_TO_WGS_1984_7, discontinued
PE_GT_BATAVIA_TO_WGS_1984, discontinued
PE_GT_NAD_1927_TO_NAD_1983_NADCON, discontinued
PE_GT_NAD_1927_TO_NAD_1983_AK, discontinued
PE_GT_SAMBOJA_TO_WGS_1984, discontinued
PE_GT_SEGORA_TO_WGS_1984, discontinued
PE_GT_PULKOVO_1942_TO_WGS_1984_3, discontinued
PE_GT_PULKOVO_1942_TO_WGS_1984_4, discontinued
PE_GT_PULKOVO_1942_TO_WGS_1984_5, discontinued
PE_GT_PULKOVO_1942_TO_WGS_1984_8, discontinued
PE_GT_PULKOVO_1942_TO_ETRS_1989, discontinued
PE_GT_MALONGO_1987_TO_MHAST_1, discontinued
PE_GT_MHAST_TO_WGS_1984_1, discontinued
PE_GT_OLD_HAWAIIAN_TO_NAD_1983, discontinued
PE_GT_ST_LAWRENCE_TO_NAD_1983, discontinued
PE_GT_ST_PAUL_TO_NAD_1983, discontinued
PE_GT_ST_GEORGE_TO_NAD_1983, discontinued
PE_GT_PUERTO_RICO_TO_NAD_1983, discontinued
PE_GT_NAD_1983_TO_HARN_AL, discontinued
PE_GT_NAD_1983_TO_HARN_AZ, discontinued
PE_GT_NAD_1983_TO_HARN_CN, discontinued
PE_GT_NAD_1983_TO_HARN_CS, discontinued
PE_GT_NAD_1983_TO_HARN_CO, discontinued
PE_GT_NAD_1983_TO_HARN_GA, discontinued
PE_GT_NAD_1983_TO_HARN_FL, discontinued
PE_GT_NAD_1983_TO_HARN_EM, discontinued
PE_GT_NAD_1983_TO_HARN_WM, discontinued
PE_GT_NAD_1983_TO_HARN_KY, discontinued
PE_GT_NAD_1983_TO_HARN_LA, discontinued
PE_GT_NAD_1983_TO_HARN_MD, discontinued
PE_GT_NAD_1983_TO_HARN_ME, discontinued
PE_GT_NAD_1983_TO_HARN_MI, discontinued
PE_GT_NAD_1983_TO_HARN_MS, discontinued
PE_GT_NAD_1983_TO_HARN_NB, discontinued
PE_GT_NAD_1983_TO_HARN_NE, discontinued
PE_GT_NAD_1983_TO_HARN_NM, discontinued
PE_GT_NAD_1983_TO_HARN_NY, discontinued
PE_GT_NAD_1983_TO_HARN_ND, discontinued
PE_GT_NAD_1983_TO_HARN_OK, discontinued
PE_GT_NAD_1983_TO_HARN_PV, discontinued
PE_GT_NAD_1983_TO_HARN_SD, discontinued
PE_GT_NAD_1983_TO_HARN_TN, discontinued
PE_GT_NAD_1983_TO_HARN_ET, discontinued
PE_GT_NAD_1983_TO_HARN_WT, discontinued
PE_GT_NAD_1983_TO_HARN_VA, discontinued
PE_GT_NAD_1983_TO_HARN_WO, discontinued
PE_GT_NAD_1983_TO_HARN_WI, discontinued
PE_GT_NAD_1983_TO_HARN_WY, discontinued
PE_GT_NAD_1983_TO_HARN_HI, discontinued
PE_GT_NAD_1983_TO_HARN_IN, discontinued
PE_GT_NAD_1983_TO_HARN_KS, discontinued
PE_GT_NAD_1983_TO_HARN_NV, discontinued
PE_GT_NAD_1983_TO_HARN_OH, discontinued
