#------------------------------------------------------------------------------------------------------
# HVCOORDSYS description table
#
# syntax: [HVCOORDSYS,] code, "utf8-description"
#------------------------------------------------------------------------------------------------------

PE_HVC_KKJ_FINLAND_UCS_N60_HT, "Finland - onshore"
PE_HVC_ETRS89_TM35FIN_N60_HT, "ETRS 1989 TM35FIN + N60 (Height)"
PE_HVC_ETRS89_TM35FIN_N2000_HT, "ETRS 1989 TM35FIN + N2000 (Height)"
PE_HVC_ETRS89_DKTM1_DVR90_HT, "ETRS 1989 DKTM1 + DVR90 (Height)"
PE_HVC_ETRS89_DKTM2_DVR90_HT, "ETRS 1989 DKTM2 + DVR90 (Height)"
PE_HVC_ETRS89_DKTM3_DVR90_HT, "ETRS 1989 DKTM3 + DVR90 (Height)"
PE_HVC_ETRS89_DKTM4_DVR90_HT, "ETRS 1989 DKTM4 + DVR90 (Height)"
PE_HVC_ETRS89_FAROE_TM_FVR09_HT, "Faroe Islands - onshore"
PE_HVC_NAD_1983_NAVD88_HT, "USA - CONUS and Alaska - onshore"
PE_HVC_NAD_1983_HARN_NAVD88_HT, "USA - CONUS - onshore"
PE_HVC_NAD_1983_NSRS2007_NAVD88_HT, "USA - CONUS - onshore"
PE_HVC_ETRS_1989_UTM_31N_AND_DHHN92_HT, "Germany - onshore west of 6~E"
PE_HVC_ETRS_1989_UTM_32N_AND_DHHN92_HT, "Germany - onshore between 6~E and 12~E"
PE_HVC_ETRS_1989_UTM_33N_AND_DHHN92_HT, "Germany - onshore east of 12~E"
PE_HVC_FEH2010_FEHMARNBELT_TM_AND_FCSVR10_HT, "Europe - Fehmarnbelt area (Denmark and Germany)"
PE_HVC_SWEREF99_RH2000_HT, "Sweden - onshore"
PE_HVC_RGF_1993_LAMBERT_93_AND_NGF_IGN69_HT, "France - mainland onshore"
PE_HVC_RGF_1993_LAMBERT_93_AND_NGF_IGN78_HT, "France - Corsica onshore"
PE_HVC_NTF_PARIS_LAMBERT_I_AND_NGF_IGN69_HT, "France - mainland onshore N of 53.5g N (48~09'N)"
PE_HVC_NTF_PARIS_LAMBERT_IV_AND_NGF_IGN78_HT, "France - Corsica onshore"
PE_HVC_DB_REF_3_DEG_GK_2_EN_AND_DHHN92, "Germany - West Germany - west of 7.5~E"
PE_HVC_DB_REF_3_DEG_GK_3_EN_AND_DHHN92, "Germany - onshore 7.5~E to 10.5~E"
PE_HVC_DB_REF_3_DEG_GK_4_EN_AND_DHHN92, "Germany - onshore 10.5~E to 13.5~E"
PE_HVC_DB_REF_3_DEG_GK_5_EN_AND_DHHN92, "Germany - onshore east of 13.5~E"
PE_HVC_SWEREF99_TM_RH2000_HT, "Sweden - onshore"
PE_HVC_SWEREF99_12_00_RH2000_HT, "Sweden - 12 00"
PE_HVC_SWEREF99_13_30_RH2000_HT, "Sweden - 13 30"
PE_HVC_SWEREF99_15_00_RH2000_HT, "Sweden - 15 00"
PE_HVC_SWEREF99_16_30_RH2000_HT, "Sweden - 16 30"
PE_HVC_SWEREF99_18_00_RH2000_HT, "Sweden - 18 00"
PE_HVC_SWEREF99_14_15_RH2000_HT, "Sweden - 14 15"
PE_HVC_SWEREF99_15_45_RH2000_HT, "Sweden - 15 45"
PE_HVC_SWEREF99_17_15_RH2000_HT, "Sweden - 17 15"
PE_HVC_SWEREF99_18_45_RH2000_HT, "Sweden - 18 45"
PE_HVC_SWEREF99_20_15_RH2000_HT, "Sweden - 20 15"
PE_HVC_SWEREF99_21_45_RH2000_HT, "Sweden - 21 45"
PE_HVC_SWEREF99_23_15_RH2000_HT, "Sweden - 23 15"
PE_HVC_ETRS_1989_NN2000_HT, "Norway - onshore"
PE_HVC_ETRS_1989_NTM_5_NN2000_HT, "Norway - onshore - west of 6~E"
PE_HVC_ETRS_1989_NTM_6_NN2000_HT, "Norway - onshore - 6~E to 7~E"
PE_HVC_ETRS_1989_NTM_7_NN2000_HT, "Norway - onshore - 7~E to 8~E"
PE_HVC_ETRS_1989_NTM_8_NN2000_HT, "Norway - onshore - 8~E to 9~E"
PE_HVC_ETRS_1989_NTM_9_NN2000_HT, "Norway - onshore - 9~E to 10~E"
PE_HVC_ETRS_1989_NTM_10_NN2000_HT, "Norway - onshore - 10~E to 11~E"
PE_HVC_ETRS_1989_NTM_11_NN2000_HT, "Norway - onshore - 11~E to 12~E"
PE_HVC_ETRS_1989_NTM_12_NN2000_HT, "Norway - onshore - 12~E to 13~E"
PE_HVC_ETRS_1989_NTM_13_NN2000_HT, "Norway - onshore - 13~E to 14~E"
PE_HVC_ETRS_1989_NTM_14_NN2000_HT, "Norway - onshore - 14~E to 15~E"
PE_HVC_ETRS_1989_NTM_15_NN2000_HT, "Norway - onshore - 15~E to 16~E"
PE_HVC_ETRS_1989_NTM_16_NN2000_HT, "Norway - onshore - 16~E to 17~E"
PE_HVC_ETRS_1989_NTM_17_NN2000_HT, "Norway - onshore - 17~E to 18~E"
PE_HVC_ETRS_1989_NTM_18_NN2000_HT, "Norway - onshore - 18~E to 19~E"
PE_HVC_ETRS_1989_NTM_19_NN2000_HT, "Norway - onshore - 19~E to 20~E"
PE_HVC_ETRS_1989_NTM_20_NN2000_HT, "Norway - onshore - 20~E to 21~E"
PE_HVC_ETRS_1989_NTM_21_NN2000_HT, "Norway - onshore - 21~E to 22~E"
PE_HVC_ETRS_1989_NTM_22_NN2000_HT, "Norway - onshore - 22~E to 23~E"
PE_HVC_ETRS_1989_NTM_23_NN2000_HT, "Norway - onshore - 23~E to 24~E"
PE_HVC_ETRS_1989_NTM_24_NN2000_HT, "Norway - onshore - 24~E to 25~E"
PE_HVC_ETRS_1989_NTM_25_NN2000_HT, "Norway - onshore - 25~E to 26~E"
PE_HVC_ETRS_1989_NTM_26_NN2000_HT, "Norway - onshore - 26~E to 27~E"
PE_HVC_ETRS_1989_NTM_27_NN2000_HT, "Norway - onshore - 27~E to 28~E"
PE_HVC_ETRS_1989_NTM_28_NN2000_HT, "Norway - onshore - 28~E to 29~E"
PE_HVC_ETRS_1989_NTM_29_NN2000_HT, "Norway - onshore - 29~E to 30~E"
PE_HVC_ETRS_1989_NTM_30_NN2000_HT, "Norway - onshore - East of 30~E"
PE_HVC_ETRS_1989_UTM_31_NN2000_HT, "Norway - onshore - West of 6~E"
PE_HVC_ETRS_1989_UTM_32_NN2000_HT, "Norway - onshore - 6~E to 12~E"
PE_HVC_ETRS_1989_UTM_33_NN2000_HT, "Norway - onshore - 12~E to 18~E"
PE_HVC_ETRS_1989_UTM_34_NN2000_HT, "Norway - onshore - 18~E to 24~E"
PE_HVC_ETRS_1989_UTM_35_NN2000_HT, "Norway - onshore - 24~E to 30~E"
PE_HVC_ETRS_1989_UTM_36_NN2000_HT, "Norway - onshore - East of 30~E"
PE_HVC_ETRS_1989_NN54_HT, "Norway - onshore"
PE_HVC_ETRS_1989_NTM_5_NN54_HT, "Norway - onshore - west of 6~E"
PE_HVC_ETRS_1989_NTM_6_NN54_HT, "Norway - onshore - 6~E to 7~E"
PE_HVC_ETRS_1989_NTM_7_NN54_HT, "Norway - onshore - 7~E to 8~E"
PE_HVC_ETRS_1989_NTM_8_NN54_HT, "Norway - onshore - 8~E to 9~E"
PE_HVC_ETRS_1989_NTM_9_NN54_HT, "Norway - onshore - 9~E to 10~E"
PE_HVC_ETRS_1989_NTM_10_NN54_HT, "Norway - onshore - 10~E to 11~E"
PE_HVC_ETRS_1989_NTM_11_NN54_HT, "Norway - onshore - 11~E to 12~E"
PE_HVC_ETRS_1989_NTM_12_NN54_HT, "Norway - onshore - 12~E to 13~E"
PE_HVC_ETRS_1989_NTM_13_NN54_HT, "Norway - onshore - 13~E to 14~E"
PE_HVC_ETRS_1989_NTM_14_NN54_HT, "Norway - onshore - 14~E to 15~E"
PE_HVC_ETRS_1989_NTM_15_NN54_HT, "Norway - onshore - 15~E to 16~E"
PE_HVC_ETRS_1989_NTM_16_NN54_HT, "Norway - onshore - 16~E to 17~E"
PE_HVC_ETRS_1989_NTM_17_NN54_HT, "Norway - onshore - 17~E to 18~E"
PE_HVC_ETRS_1989_NTM_18_NN54_HT, "Norway - onshore - 18~E to 19~E"
PE_HVC_ETRS_1989_NTM_19_NN54_HT, "Norway - onshore - 19~E to 20~E"
PE_HVC_ETRS_1989_NTM_20_NN54_HT, "Norway - onshore - 20~E to 21~E"
PE_HVC_ETRS_1989_NTM_21_NN54_HT, "Norway - onshore - 21~E to 22~E"
PE_HVC_ETRS_1989_NTM_22_NN54_HT, "Norway - onshore - 22~E to 23~E"
PE_HVC_ETRS_1989_NTM_23_NN54_HT, "Norway - onshore - 23~E to 24~E"
PE_HVC_ETRS_1989_NTM_24_NN54_HT, "Norway - onshore - 24~E to 25~E"
PE_HVC_ETRS_1989_NTM_25_NN54_HT, "Norway - onshore - 25~E to 26~E"
PE_HVC_ETRS_1989_NTM_26_NN54_HT, "Norway - onshore - 26~E to 27~E"
PE_HVC_ETRS_1989_NTM_27_NN54_HT, "Norway - onshore - 27~E to 28~E"
PE_HVC_ETRS_1989_NTM_28_NN54_HT, "Norway - onshore - 28~E to 29~E"
PE_HVC_ETRS_1989_NTM_29_NN54_HT, "Norway - onshore - 29~E to 30~E"
PE_HVC_ETRS_1989_NTM_30_NN54_HT, "Norway - onshore - East of 30~E"
PE_HVC_ETRS_1989_UTM_31_NN54_HT, "Norway - onshore - West of 6~E"
