#------------------------------------------------------------------------------------------------------
# PARAMETER description table
#
# syntax: [PARAMETER,] code, "utf8-description"
#------------------------------------------------------------------------------------------------------

PE_PAR_FALSE_EASTING, "X0 - False Easting"
PE_PAR_FALSE_NORTHING, "Y0 - False Northing"
PE_PAR_SCALE_FACTOR, "K0 - Scale Factor"
PE_PAR_AZIMUTH, "ALPHA - Azimuth"
PE_PAR_HEIGHT, "HEIGHT - Height"
PE_PAR_VERTICAL_SHIFT, "Z0 - Vertical Shift"
PE_PAR_DIRECTION, "DIR - Direction (Height +, Depth -)"
PE_PAR_CENTRAL_MERIDIAN, "LAM0 - Central Meridian"
PE_PAR_LONGITUDE_OF_ORIGIN, "LAM0 - Longitude of Origin"
PE_PAR_LONGITUDE_OF_CENTER, "LAMC - Longitude of Center"
PE_PAR_LONGITUDE_OF_1ST, "LAM1 - Longitude of 1st Point"
PE_PAR_LONGITUDE_OF_2ND, "LAM2 - Longitude of 2nd Point"
PE_PAR_CENTRAL_PARALLEL, "PHI0 - Central Parallel"
PE_PAR_LATITUDE_OF_ORIGIN, "PHI0 - Latitude of Origin"
PE_PAR_LATITUDE_OF_CENTER, "PHIC - Latitude of Center"
PE_PAR_LATITUDE_OF_1ST, "PHI1 - Latitude of 1st Point"
PE_PAR_LATITUDE_OF_2ND, "PHI2 - Latitude of 2nd Point"
PE_PAR_STANDARD_PARALLEL_1, "PHI1 - Standard Parallel 1"
PE_PAR_STANDARD_PARALLEL_2, "PHI2 - Standard Parallel 2"
PE_PAR_PSEUDO_STANDARD_PARALLEL_1, "PHI1 - Pseudo-standard Parallel 1"
PE_PAR_AUXILIARY_SPHERE_TYPE, "AUXS - Auxiliary Sphere Type"
PE_PAR_OPTION, "OPTION - Option"
PE_PAR_X_SCALE, "XS - X Scale"
PE_PAR_Y_SCALE, "YS - Y Scale"
PE_PAR_XY_PLANE_ROTATION, "XYR - XY Plane Rotation"
PE_PAR_X_AXIS_TRANSLATION, "DX - X Axis Translation"
PE_PAR_Y_AXIS_TRANSLATION, "DY - Y Axis Translation"
PE_PAR_Z_AXIS_TRANSLATION, "DZ - Z Axis Translation"
PE_PAR_X_AXIS_ROTATION, "RX - X Axis of Rotation"
PE_PAR_Y_AXIS_ROTATION, "RY - Y Axis of Rotation"
PE_PAR_Z_AXIS_ROTATION, "RZ - Z Axis of Rotation"
PE_PAR_SCALE_DIFFERENCE, "DS - Scale Difference"
PE_PAR_NAME_DATASET, "ND - Dataset Name"
PE_PAR_X_COORD_OF_ROTATION_ORIGIN, "XCR - X Coordinate of Rotation Origin"
PE_PAR_Y_COORD_OF_ROTATION_ORIGIN, "YCR - Y Coordinate of Rotation Origin"
PE_PAR_Z_COORD_OF_ROTATION_ORIGIN, "ZCR - Z Coordinate of Rotation Origin"
PE_PAR_LONGITUDE_OFFSET, "DLON - Longitude Offset"
PE_PAR_LATITUDE_OFFSET, "DLAT - Latitude Offset"
PE_PAR_VERTICAL_OFFSET, "VO - Vertical Offset"
PE_PAR_LATITUDE_OF_EVALUATION, "PHIE - Latitude of Evaluation"
PE_PAR_LONGITUDE_OF_EVALUATION, "LAME - Longitude of Evaluation"
PE_PAR_INCLINATION_NORTH, "INCN - Inclination North"
PE_PAR_INCLINATION_EAST, "INCE - Inclination East"
PE_PAR_INTERPOLATION_TYPE, "INTERP - Interpolation Type"
PE_PAR_ASPECT_RATIO, "ASPECT - Aspect Ratio"
PE_PAR_PERSPECTIVE_RATIO, "RATIO - Perspective Ratio"
PE_PAR_X_AXIS_TRANS_RATE, "DXRATE - X Axis Translation Rate"
PE_PAR_Y_AXIS_TRANS_RATE, "DYRATE - Y Axis Translation Rate"
PE_PAR_Z_AXIS_TRANS_RATE, "DZRATE - Z Axis Translation Rate"
PE_PAR_X_AXIS_ROT_RATE, "RXRATE - X Axis of Rotation Rate"
PE_PAR_Y_AXIS_ROT_RATE, "RYRATE - Y Axis of Rotation Rate"
PE_PAR_Z_AXIS_ROT_RATE, "RZRATE - Z Axis of Rotation Rate"
PE_PAR_SCALE_DIFF_RATE, "DSRATE - Scale Difference Rate"
PE_PAR_REF_TIME, "REFT - Reference Time"
