#------------------------------------------------------------------------------------------------------
# PROJCS axis table
#
# syntax: [PROJCS,] cs-code, axis-code
#------------------------------------------------------------------------------------------------------

PE_PCS_HANOI_1972_GK_18, NE
PE_PCS_HANOI_1972_GK_19, NE
PE_PCS_S_JTSK_FERRO_KROVAK, SW
PE_PCS_CHOS_MALAL_1914_ARGENTINA_2, NE
PE_PCS_PAMPA_DEL_CASTILLO_ARGENTINA_2, NE
PE_PCS_HITO_XVIII_1963_ARGENTINA_2, NE
PE_PCS_NAD_1927_CUBA_NORTE, NE
PE_PCS_NAD_1927_CUBA_SUR, NE
PE_PCS_HANOI_1972_GK_106_NE, NE
PE_PCS_KOREAN_1985_EAST_BELT, NE
PE_PCS_KOREAN_1985_CENTRAL_BELT, NE
PE_PCS_KOREAN_1985_WEST_BELT, NE
PE_PCS_NZGD_2000_MOUNT_EDEN_CIRCUIT, NE
PE_PCS_NZGD_2000_BAY_OF_PLENTY_CIRCUIT, NE
PE_PCS_NZGD_2000_POVERTY_BAY_CIRCUIT, NE
PE_PCS_NZGD_2000_HAWKES_BAY_CIRCUIT, NE
PE_PCS_NZGD_2000_TARANAKI_CIRCUIT, NE
PE_PCS_NZGD_2000_TUHIRANGI_CIRCUIT, NE
PE_PCS_NZGD_2000_WANGANUI_CIRCUIT, NE
PE_PCS_NZGD_2000_WAIRARAPA_CIRCUIT, NE
PE_PCS_NZGD_2000_WELLINGTON_CIRCUIT, NE
PE_PCS_NZGD_2000_COLLINGWOOD_CIRCUIT, NE
PE_PCS_NZGD_2000_NELSON_CIRCUIT, NE
PE_PCS_NZGD_2000_KARAMEA_CIRCUIT, NE
PE_PCS_NZGD_2000_BULLER_CIRCUIT, NE
PE_PCS_NZGD_2000_GREY_CIRCUIT, NE
PE_PCS_NZGD_2000_AMURI_CIRCUIT, NE
PE_PCS_NZGD_2000_MARLBOROUGH_CIRCUIT, NE
PE_PCS_NZGD_2000_HOKITIKA_CIRCUIT, NE
