#------------------------------------------------------------------------------------------------------
# PROJECTION description table
#
# syntax: [PROJECTION,] code, "utf8-description"
#------------------------------------------------------------------------------------------------------

PE_PRJ_PLATE_CARREE, "Plate Carree"
PE_PRJ_EQUIDISTANT_CYLINDRICAL, "Equidistant Cylindrical"
PE_PRJ_MILLER_CYLINDRICAL, "Miller Cylindrical"
PE_PRJ_MERCATOR, "Mercator (also known as Mercator Variant B - standard parallel version)"
PE_PRJ_GAUSS_KRUGER, "Gauss-Kruger"
PE_PRJ_TRANSVERSE_MERCATOR, "Transverse Mercator = Gauss Kruger"
PE_PRJ_ALBERS, "Albers"
PE_PRJ_SINUSOIDAL, "Sinusoidal"
PE_PRJ_MOLLWEIDE, "Mollweide"
PE_PRJ_ECKERT_VI, "Eckert VI"
PE_PRJ_ECKERT_V, "Eckert V"
PE_PRJ_ECKERT_IV, "Eckert IV"
PE_PRJ_ECKERT_III, "Eckert III"
PE_PRJ_ECKERT_II, "Eckert II"
PE_PRJ_ECKERT_I, "Eckert I"
PE_PRJ_GALL_STEREOGRAPHIC, "Gall Stereographic"
PE_PRJ_BEHRMANN, "Behrmann"
PE_PRJ_WINKEL_I, "Winkel I"
PE_PRJ_WINKEL_II, "Winkel II"
PE_PRJ_LAMBERT_CONFORMAL_CONIC, "Lambert Conformal Conic"
PE_PRJ_POLYCONIC, "Polyconic"
PE_PRJ_QUARTIC_AUTHALIC, "Quartic Authalic"
PE_PRJ_LOXIMUTHAL, "Loximuthal"
PE_PRJ_BONNE, "Bonne"
PE_PRJ_HOTINE_TWO_POINT_NATORIGIN, "Hotine 2 Point Natural Origin"
PE_PRJ_STEREOGRAPHIC, "Stereographic"
PE_PRJ_EQUIDISTANT_CONIC, "Equidistant Conic"
PE_PRJ_CASSINI, "Cassini"
PE_PRJ_VAN_DER_GRINTEN_I, "Van der Grinten I"
PE_PRJ_ROBINSON, "Robinson"
PE_PRJ_TWO_POINT_EQUIDISTANT, "Two-Point Equidistant"
PE_PRJ_AZIMUTHAL_EQUIDISTANT, "Azimuthal Equidistant"
PE_PRJ_LAMBERT_AZIMUTHAL_EQAREA, "Lambert Azimuthal Equal Area"
PE_PRJ_CYLINDRICAL_EQAREA, "Cylindrical Equal Area"
PE_PRJ_HOTINE_TWO_POINT_CENTER, "Hotine 2 Point Center"
PE_PRJ_HOTINE_AZIMUTH_NATORIGIN, "Hotine Azimuth Natural Origin"
PE_PRJ_HOTINE_AZIMUTH_CENTER, "Hotine Azimuth Center"
PE_PRJ_DOUBLE_STEREOGRAPHIC, "Double Stereographic"
PE_PRJ_KROVAK, "Krovak Oblique Lambert Conformal Conic"
PE_PRJ_NEW_ZEALAND_MAP_GRID, "New Zealand Map Grid"
PE_PRJ_ORTHOGRAPHIC, "Orthographic"
PE_PRJ_WINKEL_TRIPEL, "Winkel Tripel"
PE_PRJ_AITOFF, "Aitoff"
PE_PRJ_HAMMER_AITOFF, "Hammer Aitoff"
PE_PRJ_FLAT_POLAR_QUARTIC, "Flat Polar Quartic"
PE_PRJ_CRASTER_PARABOLIC, "Craster Parabolic"
PE_PRJ_GNOMONIC, "Gnomonic"
PE_PRJ_TIMES, "Bartholomew Times"
PE_PRJ_VERTICAL_NEAR_SIDE_PERSPECTIVE, "Vertical Near-Side Perspective"
PE_PRJ_STEREOGRAPHIC_NORTH_POLE, "Stereographic - North Pole"
PE_PRJ_STEREOGRAPHIC_SOUTH_POLE, "Stereographic - South Pole"
PE_PRJ_FULLER, "Fuller"
PE_PRJ_RSO_NATORIGIN, "Rectified Skew Orthomorphic - Natural Origin"
PE_PRJ_RSO_CENTER, "Rectified Skew Orthomorphic - Center"
PE_PRJ_CUBE, "World on a Cube"
PE_PRJ_TRANSVERSE_MERCATOR_COMPLEX, "Trans. Mercator Complex"
PE_PRJ_ROBINSON_AI, "Robinson from Arc/INFO Workstation"
PE_PRJ_LOCAL, "Local"
PE_PRJ_GOODE_HOMOLOSINE, "Goode Homolosine"
PE_PRJ_BERGHAUS_STAR, "Berghaus Star"
PE_PRJ_EQUIDISTANT_CYLINDRICAL_ELLIPSOIDAL, "Equidistant Cylindrical Ellipsoidal"
PE_PRJ_NEY, "Ney Modified Conic"
PE_PRJ_LABORDE, "Laborde Oblique Mercator"
PE_PRJ_IGAC_PLANO_CARTESIANO, "IGAC Plano Cartesiano"
PE_PRJ_GNOMONIC_ELLIPSOIDAL, "Gnomonic Ellipsoidal"
PE_PRJ_POLAR_STEREOGRAPHIC_VARIANT_A, "EPSG's Polar Stereographic Variant A (Scale at pole, Origin at Pole)"
PE_PRJ_POLAR_STEREOGRAPHIC_VARIANT_B, "EPSG's Polar Stereographic Variant B (Standard Parallel, Origin at Pole)"
PE_PRJ_POLAR_STEREOGRAPHIC_VARIANT_C, "EPSG's Polar Stereographic Variant C (Standard Parallel, Origin at Standard Parallel)"
PE_PRJ_MERCATOR_VARIANT_A, "Mercator Variant A (scale at equator version)"
PE_PRJ_MERCATOR_VARIANT_C, "Mercator Variant C (standard parallel plus latitude of origin version)"
PE_PRJ_HAMMER_ELLIPSOIDAL, "Hammer Ellipsoidal"
PE_PRJ_QUARTIC_AUTHALIC_ELLIPSOIDAL, "Quartic Authalic Ellipsoidal"
PE_PRJ_ECKERT_GREIFENDORFF, "Eckert-Greifendorff"
PE_PRJ_WAGNER_IV, "Wagner IV"
PE_PRJ_WAGNER_V, "Wagner V"
PE_PRJ_WAGNER_VII, "Wagner VII"
PE_PRJ_NATURAL_EARTH, "Natural Earth"
PE_PRJ_NATURAL_EARTH_II, "Natural Earth II"
PE_PRJ_PATTERSON, "Patterson"
PE_PRJ_COMPACT_MILLER, "Compact Miller"
PE_PRJ_TRANSVERSE_MERCATOR_NGA_2014, "Transverse Mercator NGA 2014"
PE_PRJ_TRANSVERSE_CYLINDRICAL_EQAREA, "Transverse Cylindrical Equal Area"
PE_PRJ_ASPECT_ADAPTIVE_CYLINDRICAL, "Aspect-adaptive Cylindrical"
PE_PRJ_GEOSTATIONARY_SATELLITE, "Geostationary Satellite"
PE_PRJ_EQUAL_EARTH, "Equal Earth"
PE_PRJ_PEIRCE_QUINCUNCIAL, "Peirce Quincuncial"
PE_PRJ_ADAMS_SQUARE_II, "Adams Square II"
PE_PRJ_TOBLER_CYLINDRICAL_I, "Tobler Cylindrical I"
PE_PRJ_TOBLER_CYLINDRICAL_II, "Tobler Cylindrical II"
PE_PRJ_PERSPECTIVE_CYLINDRICAL, "Perspective Cylindrical"
PE_PRJ_LAMBERT_CONFORMAL_CONIC_1SP, "Lambert Conformal Conic 1SP"
PE_PRJ_LAMBERT_CONFORMAL_CONIC_2SP, "Lambert Conformal Conic 2SP"
PE_PRJ_EQUIDISTANT_CYLINDRICAL_AUXS, "Equidistant Cylindrical (Auxiliary Sphere)"
PE_PRJ_MILLER_CYLINDRICAL_AUXS, "Miller Cylindrical (Auxiliary Sphere)"
PE_PRJ_MERCATOR_AUXS, "Mercator (Auxiliary Sphere)"
PE_PRJ_MOLLWEIDE_AUXS, "Mollweide (Auxiliary Sphere)"
PE_PRJ_ECKERT_VI_AUXS, "Eckert VI (Auxiliary Sphere)"
PE_PRJ_ECKERT_IV_AUXS, "Eckert IV (Auxiliary Sphere)"
PE_PRJ_STEREOGRAPHIC_AUXS, "Stereographic (Auxiliary Sphere)"
PE_PRJ_VAN_DER_GRINTEN_I_AUXS, "Van der Grinten I (Auxiliary Sphere)"
PE_PRJ_AZIMUTHAL_EQUIDISTANT_AUXS, "Azimuthal Equidistant (Auxiliary Sphere)"
