#------------------------------------------------------------------------------------------------------
# VDATUM description table
#
# syntax: [VDATUM,] code, "utf8-description"
#------------------------------------------------------------------------------------------------------

PE_VERTD_EGM2008_GEOID, "EGM2008 Geoid"
PE_VERTD_FAO_1979, "Fao 1979"
PE_VERTD_N2000, "N2000"
PE_VERTD_NZVD_2009, "New Zealand Vertical Datum 2009"
PE_VERTD_DUNEDIN_BLUFF_1960, "Dunedin-Bluff 1960"
PE_VERTD_INCHEON, "Incheon"
PE_VERTD_TRIESTE, "Trieste"
PE_VERTD_GENOA, "Genoa"
PE_VERTD_SRI_LANKA_VERTICAL_DATUM, "Sri Lanka Vertical Datum"
PE_VERTD_FAROE_ISLANDS_VR_2009, "Faroe Islands Vertical Reference 2009"
PE_VERTD_FEH_VR_2010, "Fehmarnbelt Vertical Reference 2010"
PE_VERTD_LAT, "Lowest Astronomical Tide"
PE_VERTD_HAT, "Highest Astronomical Tide"
PE_VERTD_LLWLT, "Lower Low Water Large Tide"
PE_VERTD_HHWLT, "Higher High Water Large Tide"
PE_VERTD_ISLW, "Indian Spring Low Water"
PE_VERTD_MLLWS, "Mean Lower Low Water Spring Tides"
PE_VERTD_MLWS, "Mean Low Water Spring Tides"
PE_VERTD_MHWS, "Mean High Water Spring Tides"
PE_VERTD_MLLW, "Mean Lower Low Water"
PE_VERTD_MHHW, "Mean Higher High Water"
PE_VERTD_MLW, "Mean Low Water"
PE_VERTD_MHW, "Mean High Water"
PE_VERTD_LW, "Low Water"
PE_VERTD_HW, "High Water"
PE_VERTD_NORWAY_NORMAL_NULL_2000, "Norway Normal Null 2000"
PE_VERTD_GRAND_CAYMAN_VERTICAL_DATUM_1954, "Grand Cayman Vertical Datum 1954"
PE_VERTD_LITTLE_CAYMAN_VERTICAL_DATUM_1961, "Little Cayman Vertical Datum 1961"
PE_VERTD_CAYMAN_BRAC_VERTICAL_DATUM_1961, "Cayman Brac Vertical Datum 1961"
PE_VERTD_CAIS_DA_PONTINHA_FUNCHAL, "Cais da Pontinha - Funchal"
PE_VERTD_CAIS_DA_VILA_PORTO_SANTO, "Cais da Vila - Porto Santo"
PE_VERTD_CAIS_DAS_VELAS, "Cais das Velas"
PE_VERTD_HORTA, "Horta"
PE_VERTD_CAIS_DA_MADALENA, "Cais da Madalena"
PE_VERTD_SANTA_CRUZ_DA_GRACIOSA, "Santa Cruz da Graciosa"
PE_VERTD_CAIS_DA_FIGUEIRINHA, "Cais da Figueirinha - Angra do Heroismo"
PE_VERTD_SANTA_CRUZ_DAS_FLORES, "Santa Cruz das Flores"
PE_VERTD_CAIS_DA_VILA_DO_PORTO, "Cais da Vila do Porto"
PE_VERTD_PONTA_DELGADA, "Ponta Delgada"
PE_VERTD_NORTHERN_MARIANAS_2003, "Northern Marianas Vertical Datum of 2003"
PE_VERTD_TUTUILA_1962, "Tutuila Vertical Datum of 1962"
PE_VERTD_GUAM_1963, "Guam Vertical Datum of 1963"
PE_VERTD_PUERTO_RICO_2002, "Puerto Rico Vertical Datum of 2002"
PE_VERTD_VIRGIN_ISLANDS_2009, "Virgin Islands Vertical Datum of 2009"
PE_VERTD_AMERICAN_SAMOA_2002, "American Samoa Vertical Datum of 2002"
PE_VERTD_GUAM_2004, "Guam Vertical Datum of 2004"
PE_VERTD_CANADIAN_GEODETIC_VERTICAL_DATUM_2013, "Canadian Geodetic Vertical Datum of 2013"
PE_VERTD_JAPANESE_STANDARD_LEVELLING_DATUM_1972, "Japanese Standard Levelling Datum 1972"
PE_VERTD_JAPANESE_GEODETIC_DATUM_2000, "Japanese Geodetic Datum 2000 (vertical)"
PE_VERTD_JAPANESE_GEODETIC_DATUM_2011, "Japanese Geodetic Datum 2011 (vertical)"
PE_VERTD_SINGAPORE_HEIGHT_DATUM, "Singapore Height Datum"
PE_VERTD_RAS_GHUMAYS, "Ras Ghumays"
PE_VERTD_FAMAGUSTA_1960, "Famagusta 1960"
PE_VERTD_PNG08, "Papua New Guinea 2008"
PE_VERTD_KUMUL_34, "Kumul 34"
PE_VERTD_KIUNGA, "Kiunga"
PE_VERTD_DHHN12, "Deutsches Haupthoehennetz 1912"
PE_VERTD_LATVIA_2000, "Latvian Height System 2000"
PE_VERTD_NEWLYN_OFFSHORE, "Ordnance Datum Newlyn (Offshore)"
PE_VERTD_NZVD2016, "New Zealand Vertical Datum 2016"
PE_VERTD_DHHN2016, "Deutsches Haupthoehennetz 2016"
PE_VERTD_PORT_MORESBY_1996, "Port Moresby 1996"
PE_VERTD_PORT_MORESBY_2008, "Port Moresby 2008"
PE_VERTD_JAMESTOWN_1971, "Jamestown 1971"
