#------------------------------------------------------------------------------------------------------
# VERTCS description table
#
# syntax: [VERTCS,] code, "utf8-description"
#------------------------------------------------------------------------------------------------------

PE_VCS_EGM2008_GEOID, "EGM2008 Geoid"
PE_VCS_FAO_1979, "Fao 1979"
PE_VCS_N2000, "N2000"
PE_VCS_NZVD2009, "NZVD2009"
PE_VCS_DUNEDIN_BLUFF_1960, "Dunedin-Bluff 1960"
PE_VCS_INCHEON_HT, "KVD1964 (Height)"
PE_VCS_TRIESTE_HT, "Trieste (Height)"
PE_VCS_GENOA_HT, "Genoa (Height)"
PE_VCS_SLVD_HT, "SLVD (Height)"
PE_VCS_FVR09_HT, "FVR09 (Height)"
PE_VCS_BLACK_SEA_D, "Black Sea Depth"
PE_VCS_FCSVR10_HT, "FCSVR 2010 (Height)"
PE_VCS_NGPF, "Nivellement General de Polynesie Francaise"
PE_VCS_IGN_1966, "IGN 1966"
PE_VCS_MOOREA_SAU_1981, "Moorea SAU 1981"
PE_VCS_RAIATEA_SAU_2001, "Raiatea SAU 2001"
PE_VCS_MAUPITI_SAU_2001, "Maupiti SAU 2001"
PE_VCS_HUAHINE_SAU_2001, "Huahine SAU 2001"
PE_VCS_TAHAA_SAU_2001, "Tahaa SAU 2001"
PE_VCS_BORA_BORA_SAU_2001, "Bora Bora SAU 2001"
PE_VCS_IGLD_1955, "IGLD 1955 (Int'l Great Lakes Datum 1955)"
PE_VCS_IGLD_1985, "IGLD 1985 (Int'l Great Lakes Datum 1985)"
PE_VCS_HVRS_1971, "Croatian Vertical Reference System 1971"
PE_VCS_CASPIAN_HEIGHT, "Caspian (height)"
PE_VCS_BALTIC_DEPTH, "Baltic (depth)"
PE_VCS_RH2000, "RH2000 -- Rikets Hojdsystem 2000"
PE_VCS_KOC_WD_DEPTH_FT, "KOC WD (depth - ft)"
PE_VCS_RH1900, "Rikets hojdsystem 1900"
PE_VCS_IGN_1988_LS, "IGN 1988 LS"
PE_VCS_IGN_1988_MG, "IGN 1988 MG"
PE_VCS_IGN_1992_LD, "IGN 1992 LD"
PE_VCS_IGN_1988_SB, "IGN 1988 SB"
PE_VCS_IGN_1988_SM, "IGN 1988 SM"
PE_VCS_EVRF_2007, "European Vertical Reference Frame 2007"
PE_VCS_NEWLYN, "Newlyn"
PE_VCS_NGVD_1929, "NGVD_1929 -- National Geodetic Vertical Datum of 1929"
PE_VCS_NAVD_1988, "NAVD_1988 -- North American Vertical Datum of 1988"
PE_VCS_BALTIC, "Baltic"
PE_VCS_CASPIAN, "Caspian"
PE_VCS_NAP, "NAP -- Normaal Amsterdams Peil"
PE_VCS_OOSTENDE, "Oostende"
PE_VCS_AHD, "AHD -- Australian Height Datum"
PE_VCS_AHD_TASMANIA, "AHD_Tasmania -- Australian Height Datum (Tasmania)"
PE_VCS_CGVD_1928, "CGVD_1928 -- Canadian Geodetic Vertical Datum of 1928"
PE_VCS_MSL_HEIGHT, "MSL_Height -- Mean Sea Level Height"
PE_VCS_MSL_DEPTH, "MSL_Depth -- Mean Sea Level Depth"
PE_VCS_PIRAEUS, "Piraeus"
PE_VCS_N60, "N60"
PE_VCS_RH70, "RH70 -- Rikets Hojdsystem 1970"
PE_VCS_NGF_LALLEMAND, "NGF Lallemand"
PE_VCS_NGF_IGN69, "NGF IGN69"
PE_VCS_NGF_IGN78, "NGF IGN78"
PE_VCS_MAPUTO, "Maputo"
PE_VCS_JAPAN_STD_LEVEL_DATUM_1969, "Japanese Standard Levelling Datum 1969"
PE_VCS_PDO_HEIGHT_DATUM_1993, "PDO Height Datum 1993"
