#------------------------------------------------------------------------------------------------------
# GCS-VCS equivalence table
#
# syntax: [VERTCS,] gcs-code, gcs3d-code, xyz-code, vcs-code
#------------------------------------------------------------------------------------------------------

PE_GCS_WGS_1984, PE_GCS_WGS_1984_3D, PE_XYZ_WGS_1984, PE_VCS_WGS_1984
PE_GCS_ETRS_1989, PE_GCS_ETRS_1989_3D, PE_XYZ_ETRS_1989, PE_VCS_ETRS_1989
PE_GCS_NAD_1983, PE_GCS_NAD_1983_3D, 0, PE_VCS_NAD_1983
PE_GCS_AUSTRALIAN_ANTARCTIC_1998, PE_GCS_AUSTRALIAN_ANTARCTIC_1998_3D, 0, PE_VCS_AUSTRALIAN_ANTARCTIC_1998
PE_GCS_CADASTRE_1997, PE_GCS_CADASTRE_1997_3D, PE_XYZ_CADASTRE_1997, PE_VCS_CADASTRE_1997
PE_GCS_CHINA_2000, PE_GCS_CHINA_2000_3D, PE_XYZ_CHINA_2000, PE_VCS_CHINA_2000
PE_GCS_CHTRF_1995, PE_GCS_CHTRF_1995_3D, PE_XYZ_CHTRF_1995, PE_VCS_CHTRF_1995
PE_GCS_CIGD11, PE_GCS_CIGD11_3D, PE_XYZ_CIGD11, PE_VCS_CIGD11
PE_GCS_CR05, PE_GCS_CR05_3D, PE_XYZ_CR05, PE_VCS_CR05
PE_GCS_DB_REF, PE_GCS_DB_REF_3D, PE_XYZ_DB_REF, PE_VCS_DB_REF
PE_GCS_DGN_1995, PE_GCS_DGN_1995_3D, PE_XYZ_DGN_1995, PE_VCS_DGN_1995
PE_GCS_DRUKREF_03, PE_GCS_DRUKREF_03_3D, PE_XYZ_DRUKREF_03, PE_VCS_DRUKREF_03
PE_GCS_ESTONIA_1997, PE_GCS_ESTONIA_1997_3D, PE_XYZ_ESTONIA_1997, PE_VCS_ESTONIA_1997
PE_GCS_EUREF_FIN, PE_GCS_EUREF_FIN_3D, 0, PE_VCS_EUREF_FIN
PE_GCS_FEH2010, PE_GCS_FEH2010_3D, PE_XYZ_FEH2010, PE_VCS_FEH2010
PE_GCS_GDA_1994, PE_GCS_GDA_1994_3D, PE_XYZ_GDA_1994, PE_VCS_GDA_1994
PE_GCS_GDBD2009, PE_GCS_GDBD2009_3D, PE_XYZ_GDBD2009, PE_VCS_GDBD2009
PE_GCS_GDM_2000, PE_GCS_GDM_2000_3D, PE_XYZ_GDM_2000, PE_VCS_GDM_2000
PE_GCS_GREENLAND_1996, PE_GCS_GREENLAND_1996_3D, PE_XYZ_GREENLAND_1996, PE_VCS_GREENLAND_1996
PE_GCS_HARTEBEESTHOEK94, PE_GCS_HARTEBEESTHOEK94_3D, PE_XYZ_HARTEBEESTHOEK94, PE_VCS_HARTEBEESTHOEK94
PE_GCS_IGD05, PE_GCS_IGD05_3D, PE_XYZ_IGD05, PE_VCS_IGD05
PE_GCS_IG05_INTERM_CRS, PE_GCS_IG05_INTERM_CRS_3D, PE_XYZ_IG05_INTERM_CRS, PE_VCS_IG05_INTERM_CRS
PE_GCS_IGD05_2012, PE_GCS_IGD05_2012_3D, PE_XYZ_IGD05_2012, PE_VCS_IGD05_2012
PE_GCS_IG05_2012_INTERM_CRS, PE_GCS_IG05_2012_INTERM_CRS_3D, PE_XYZ_IG05_2012_INTERM_CRS, PE_VCS_IG05_2012_INTERM_CRS
PE_GCS_IGM_1995, PE_GCS_IGM_1995_3D, PE_XYZ_IGM_1995, PE_VCS_IGM_1995
PE_GCS_IGRS, PE_GCS_IGRS_3D, PE_XYZ_IGRS, PE_VCS_IGRS
PE_GCS_IRENET95, PE_GCS_IRENET95_3D, PE_XYZ_IRENET95, PE_VCS_IRENET95
PE_GCS_ISN_1993, PE_GCS_ISN_1993_3D, PE_XYZ_ISN_1993, PE_VCS_ISN_1993
PE_GCS_ISN_2004, PE_GCS_ISN_2004_3D, PE_XYZ_ISN_2004, PE_VCS_ISN_2004
PE_GCS_ITRF_1988, PE_GCS_ITRF_1988_3D, PE_XYZ_ITRF_1988, PE_VCS_ITRF_1988
PE_GCS_ITRF_1989, PE_GCS_ITRF_1989_3D, PE_XYZ_ITRF_1989, PE_VCS_ITRF_1989
PE_GCS_ITRF_1990, PE_GCS_ITRF_1990_3D, PE_XYZ_ITRF_1990, PE_VCS_ITRF_1990
PE_GCS_ITRF_1991, PE_GCS_ITRF_1991_3D, PE_XYZ_ITRF_1991, PE_VCS_ITRF_1991
PE_GCS_ITRF_1992, PE_GCS_ITRF_1992_3D, PE_XYZ_ITRF_1992, PE_VCS_ITRF_1992
PE_GCS_ITRF_1993, PE_GCS_ITRF_1993_3D, PE_XYZ_ITRF_1993, PE_VCS_ITRF_1993
PE_GCS_ITRF_1996, PE_GCS_ITRF_1996_3D, PE_XYZ_ITRF_1996, PE_VCS_ITRF_1996
PE_GCS_ITRF_1997, PE_GCS_ITRF_1997_3D, PE_XYZ_ITRF_1997, PE_VCS_ITRF_1997
PE_GCS_ITRF_2000, PE_GCS_ITRF_2000_3D, PE_XYZ_ITRF_2000, PE_VCS_ITRF_2000
PE_GCS_ITRF_2005, PE_GCS_ITRF_2005_3D, PE_XYZ_ITRF_2005, PE_VCS_ITRF_2005
PE_GCS_JAD_2001, PE_GCS_JAD_2001_3D, PE_XYZ_JAD_2001, PE_VCS_JAD_2001
PE_GCS_JGD_2000, PE_GCS_JGD_2000_3D, PE_XYZ_JGD_2000, PE_VCS_JGD_2000
PE_GCS_JGD_2011, PE_GCS_JGD_2011_3D, PE_XYZ_JGD_2011, PE_VCS_JGD_2011
PE_GCS_KOREA_2000, PE_GCS_KOREA_2000_3D, PE_XYZ_KOREA_2000, PE_VCS_KOREA_2000
PE_GCS_LAO_1997, PE_GCS_LAO_1997_3D, PE_XYZ_LAO_1997, PE_VCS_LAO_1997
PE_GCS_LGD2006, PE_GCS_LGD2006_3D, PE_XYZ_LGD2006, PE_VCS_LGD2006
PE_GCS_LKS_1992, PE_GCS_LKS_1992_3D, PE_XYZ_LKS_1992, PE_VCS_LKS_1992
PE_GCS_LKS_1994, PE_GCS_LKS_1994_3D, PE_XYZ_LKS_1994, PE_VCS_LKS_1994
PE_GCS_MACAO_2008, PE_GCS_MACAO_2008_3D, PE_XYZ_MACAO_2008, PE_VCS_MACAO_2008
PE_GCS_MAGNA, PE_GCS_MAGNA_3D, PE_XYZ_MAGNA, PE_VCS_MAGNA
PE_GCS_MARCARIO_SOLIS, PE_GCS_MARCARIO_SOLIS_3D, PE_XYZ_MARCARIO_SOLIS, PE_VCS_MARCARIO_SOLIS
PE_GCS_MARGEN, PE_GCS_MARGEN_3D, PE_XYZ_MARGEN, PE_VCS_MARGEN
PE_GCS_MEXICO_ITRF2008, PE_GCS_MEXICO_ITRF2008_3D, PE_XYZ_MEXICO_ITRF2008, PE_VCS_MEXICO_ITRF2008
PE_GCS_MOLDREF99, PE_GCS_MOLDREF99_3D, PE_XYZ_MOLDREF99, PE_VCS_MOLDREF99
PE_GCS_MONREF_1997, PE_GCS_MONREF_1997_3D, 0, PE_VCS_MONREF_1997
PE_GCS_MOZNET, PE_GCS_MOZNET_3D, PE_XYZ_MOZNET, PE_VCS_MOZNET
PE_GCS_NAD_1983_2011, PE_GCS_NAD_1983_2011_3D, PE_XYZ_NAD_1983_2011, PE_VCS_NAD_1983_2011
PE_GCS_NAD_1983_CORS96, PE_GCS_NAD_1983_CORS96_3D, PE_XYZ_NAD_1983_CORS96, PE_VCS_NAD_1983_CORS96
PE_GCS_NAD_1983_CSRS, PE_GCS_NAD_1983_CSRS_3D, PE_XYZ_NAD_1983_CSRS, PE_VCS_NAD_1983_CSRS
PE_GCS_NAD_1983_HARN, PE_GCS_NAD_1983_HARN_3D, PE_XYZ_NAD_1983_HARN, PE_VCS_NAD_1983_HARN
PE_GCS_NAD_1983_MA11, PE_GCS_NAD_1983_MA11_3D, PE_XYZ_NAD_1983_MA11, PE_VCS_NAD_1983_MA11
PE_GCS_NAD_1983_MARP00, PE_GCS_NAD_1983_MARP00_3D, PE_XYZ_NAD_1983_MARP00, PE_VCS_NAD_1983_MARP00
PE_GCS_NAD_1983_NSRS2007, PE_GCS_NAD_1983_NSRS2007_3D, PE_XYZ_NAD_1983_NSRS2007, PE_VCS_NAD_1983_NSRS2007
PE_GCS_NAD_1983_PA11, PE_GCS_NAD_1983_PA11_3D, PE_XYZ_NAD_1983_PA11, PE_VCS_NAD_1983_PA11
PE_GCS_NAD_1983_PACP00, PE_GCS_NAD_1983_PACP00_3D, PE_XYZ_NAD_1983_PACP00, PE_VCS_NAD_1983_PACP00
PE_GCS_NEPAL_NAGARKOT, PE_GCS_NEPAL_NAGARKOT_3D, 0, PE_VCS_NEPAL_NAGARKOT
PE_GCS_NZGD_2000, PE_GCS_NZGD_2000_3D, PE_XYZ_NZGD_2000, PE_VCS_NZGD_2000
PE_GCS_PERU96, PE_GCS_PERU96_3D, PE_XYZ_PERU96, PE_VCS_PERU96
PE_GCS_PNG94, PE_GCS_PNG94_3D, PE_XYZ_PNG94, PE_VCS_PNG94
PE_GCS_POSGAR, 0, 0, PE_VCS_POSGAR
PE_GCS_POSGAR_1994, PE_GCS_POSGAR_1994_3D, PE_XYZ_POSGAR_1994, PE_VCS_POSGAR_1994
PE_GCS_POSGAR_1998, PE_GCS_POSGAR_1998_3D, PE_XYZ_POSGAR_1998, PE_VCS_POSGAR_1998
PE_GCS_PRS_1992, PE_GCS_PRS_1992_3D, PE_XYZ_PRS_1992, PE_VCS_PRS_1992
PE_GCS_PTRA08, PE_GCS_PTRA08_3D, PE_XYZ_PTRA08, PE_VCS_PTRA08
PE_GCS_PZ_1990, PE_GCS_PZ_1990_3D, PE_XYZ_PZ_1990, PE_VCS_PZ_1990
PE_GCS_RDN2008, PE_GCS_RDN2008_3D, PE_XYZ_RDN2008, PE_VCS_RDN2008
PE_GCS_REGCAN95, PE_GCS_REGCAN95_3D, PE_XYZ_REGCAN95, PE_VCS_REGCAN95
PE_GCS_REGVEN, PE_GCS_REGVEN_3D, PE_XYZ_REGVEN, PE_VCS_REGVEN
PE_GCS_RGAF09, PE_GCS_RGAF09_3D, PE_XYZ_RGAF09, PE_VCS_RGAF09
PE_GCS_RGF_1993, PE_GCS_RGF_1993_3D, PE_XYZ_RGF_1993, PE_VCS_RGF_1993
PE_GCS_RGFG_1995, PE_GCS_RGFG_1995_3D, PE_XYZ_RGFG_1995, PE_VCS_RGFG_1995
PE_GCS_RGM_2004, PE_GCS_RGM_2004_3D, PE_XYZ_RGM_2004, PE_VCS_RGM_2004
PE_GCS_RGNC_1991, 0, 0, PE_VCS_RGNC_1991
PE_GCS_RGNC_1991_93, PE_GCS_RGNC_1991_93_3D, PE_XYZ_RGNC_1991_93, PE_VCS_RGNC_1991_93
PE_GCS_RGPF, PE_GCS_RGPF_3D, PE_XYZ_RGPF, PE_VCS_RGPF
PE_GCS_RGR_1992, PE_GCS_RGR_1992_3D, PE_XYZ_RGR_1992, PE_VCS_RGR_1992
PE_GCS_RGRDC_2005, PE_GCS_RGRDC_2005_3D, PE_XYZ_RGRDC_2005, PE_VCS_RGRDC_2005
PE_GCS_RGSPM_2006, PE_GCS_RGSPM_2006_3D, PE_XYZ_RGSPM_2006, PE_VCS_RGSPM_2006
PE_GCS_RRAF_1991, PE_GCS_RRAF_1991_3D, PE_XYZ_RRAF_1991, PE_VCS_RRAF_1991
PE_GCS_RSRGD2000, PE_GCS_RSRGD2000_3D, PE_XYZ_RSRGD2000, PE_VCS_RSRGD2000
PE_GCS_SIRGAS_2000, PE_GCS_SIRGAS_2000_3D, PE_XYZ_SIRGAS_2000, PE_VCS_SIRGAS_2000
PE_GCS_SIRGAS_CHILE_2002, PE_GCS_SIRGAS_CHILE_2002_3D, PE_XYZ_SIRGAS_CHILE_2002, PE_VCS_SIRGAS_CHILE_2002
PE_GCS_SIRGAS_ES2007_8, PE_GCS_SIRGAS_ES2007_8_3D, PE_XYZ_SIRGAS_ES2007_8, PE_VCS_SIRGAS_ES2007_8
PE_GCS_SIRGAS_ROU98, PE_GCS_SIRGAS_ROU98_3D, PE_XYZ_SIRGAS_ROU98, PE_VCS_SIRGAS_ROU98
PE_GCS_SLD99, PE_GCS_SLD99_3D, 0, PE_VCS_SLD99
PE_GCS_SLOVENIA_1996, PE_GCS_SLOVENIA_1996_3D, PE_XYZ_SLOVENIA_1996, PE_VCS_SLOVENIA_1996
PE_GCS_SREF98, PE_GCS_SREF98_3D, PE_XYZ_SREF98, PE_VCS_SREF98
PE_GCS_S_JTSK_05, PE_GCS_S_JTSK_05_3D, 0, PE_VCS_S_JTSK_05
PE_GCS_S_JTSK_05_FERRO, PE_GCS_S_JTSK_05_FERRO_3D, 0, PE_VCS_S_JTSK_05_FERRO
PE_GCS_SWEREF99, PE_GCS_SWEREF99_3D, PE_XYZ_SWEREF99, PE_VCS_SWEREF99
PE_GCS_TGD2005, PE_GCS_TGD2005_3D, PE_XYZ_TGD2005, PE_VCS_TGD2005
PE_GCS_TWD_1997, PE_GCS_TWD_1997_3D, PE_XYZ_TWD_1997, PE_VCS_TWD_1997
PE_GCS_UKRAINE_2000, PE_GCS_UKRAINE_2000_3D, PE_XYZ_UKRAINE_2000, PE_VCS_UKRAINE_2000
PE_GCS_YEMEN_NGN_1996, PE_GCS_YEMEN_NGN_1996_3D, PE_XYZ_YEMEN_NGN_1996, PE_VCS_YEMEN_NGN_1996
PE_GCS_ITRF_2008, PE_GCS_ITRF_2008_3D, PE_XYZ_ITRF_2008, PE_VCS_ITRF_2008
PE_GCS_TUREF, PE_GCS_TUREF_3D, PE_XYZ_TUREF, PE_VCS_TUREF
PE_GCS_GDA2020, PE_GCS_GDA2020_3D, PE_XYZ_GDA2020, PE_VCS_GDA2020
PE_GCS_BGS2005, PE_GCS_BGS2005_3D, PE_XYZ_BGS2005, PE_VCS_BGS2005
PE_GCS_ITRF2014, PE_GCS_ITRF2014_3D, PE_XYZ_ITRF2014, PE_VCS_ITRF2014
PE_GCS_SHGD2015, PE_GCS_SHGD2015_3D, PE_XYZ_SHGD2015, PE_VCS_SHGD2015
PE_GCS_ST_HELENA_TRITAN, PE_GCS_ST_HELENA_TRITAN_3D, PE_XYZ_ST_HELENA_TRITAN, PE_VCS_ST_HELENA_TRITAN
PE_GCS_GSK_2011, PE_GCS_GSK_2011_3D, PE_XYZ_GSK_2011, PE_VCS_GSK_2011
PE_GCS_PZ_1990_11, PE_GCS_PZ_1990_11_3D, PE_XYZ_PZ_1990_11, PE_VCS_PZ_1990_11
PE_GCS_PZ_1990_02, PE_GCS_PZ_1990_02_3D, PE_XYZ_PZ_1990_02, PE_VCS_PZ_1990_02
PE_GCS_WGS_1984_TRANSIT, PE_GCS_WGS_1984_TRANSIT_3D, PE_XYZ_WGS_1984_TRANSIT, PE_VCS_WGS_1984_TRANSIT
