#------------------------------------------------------------------------------------------------------
# VERTTRAN deprecated table
#
# syntax: [VERTTRAN,] factory-code, status
#------------------------------------------------------------------------------------------------------

PE_VT_BALTIC_TO_BLACK_SEA_1, discontinued
PE_VT_HONG_KONG_PRINCIPAL_TO_HONG_KONG_CHART_1, discontinued
PE_VT_BELFAST_TO_MALIN_HEAD_1, discontinued
PE_VT_POOLBEG_TO_MALIN_HEAD_1, discontinued
PE_VT_POOLBEG_TO_BELFAST_1, discontinued
PE_VT_NGVD29_TO_NAVD88_NAD27_1_WEST, discontinued
PE_VT_NGVD29_TO_NAVD88_NAD27_2_CENTRAL, discontinued
PE_VT_NGVD29_TO_NAVD88_NAD27_3_EAST, discontinued
PE_VT_KOC_CD_TO_KUWAIT_PWD_1, discontinued
PE_VT_KOC_WD_TO_KUWAIT_PWD_1, discontinued
PE_VT_BALTIC_TO_EVRS_2000_1, discontinued
5433, dead
PE_VT_HKPD_HT_TO_HKCD_D_1, discontinued
PE_VT_NAD_1983_PA11_TO_NAVD88_HI_GEOID12B_HT, discontinued
PE_VT_NGVD29_TO_NAVD88_NAD27_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_NAD83_EAST, discontinued
PE_VT_NGVD29_TO_NAVD88_NAD83_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_NAD83_CENTRAL, discontinued
PE_VT_NGVD29_TO_NAVD88_NAD83_WEST, discontinued
PE_VT_NGVD29_TO_NAVD88_HARN_EAST, discontinued
PE_VT_NGVD29_TO_NAVD88_HARN_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_HARN_CENTRAL, discontinued
PE_VT_NGVD29_TO_NAVD88_HARN_WEST, discontinued
PE_VT_NAD_1983_TO_NAVD88_HI_GEOID12B_HT, discontinued
PE_VT_NGVD29_TO_NAVD88_USFT_NAD27_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_D_USFT_NAD27_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_D_NAD83_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_USFT_NAD83_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_D_USFT_NAD83_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_D_HARN_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_USFT_HARN_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_D_USFT_HARN_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_CORS96_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_D_CORS96_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_USFT_CORS96_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_D_USFT_CORS96_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_NSRS2007_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_D_NSRS2007_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_USFT_NSRS2007_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_D_USFT_NSRS2007_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_2011_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_D_2011_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_USFT_2011_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_D_USFT_2011_ECW, discontinued
PE_VT_NGVD29_TO_NAVD88_D_NAD27_ECW, discontinued
